iteration,max_houses,score
0,20,2336790.0
1,20,2305500.0
2,20,2317410.0
3,20,2983680.0
4,20,1814790.0
5,20,2746470.0
6,20,2943600.0
7,20,1919130.0
8,20,3700770.0
9,20,2488770.0
10,20,2222310.0
11,20,2741670.0
12,20,3327210.0
13,20,1595970.0
14,20,2986650.0
15,20,2756430.0
16,20,1600650.0
17,20,1962030.0
18,20,2943570.0
19,20,1036530.0
20,20,1614510.0
21,20,2527620.0
22,20,2631840.0
23,20,2821260.0
24,20,3295020.0
25,20,2266350.0
26,20,1978530.0
27,20,2656980.0
28,20,1926000.0
29,20,1454370.0
30,20,2755800.0
31,20,2553840.0
32,20,2639550.0
33,20,2552520.0
34,20,2912400.0
35,20,1739040.0
36,20,2994690.0
37,20,2520960.0
38,20,2121510.0
39,20,2013660.0
40,20,1770840.0
41,20,2666760.0
42,20,2389170.0
43,20,1176720.0
44,20,1554660.0
45,20,1785750.0
46,20,2931870.0
47,20,1752900.0
48,20,1995270.0
49,20,1764210.0
50,20,1896600.0
51,20,2030760.0
52,20,1782000.0
53,20,2675190.0
54,20,2220600.0
55,20,2597850.0
56,20,2682120.0
57,20,2278080.0
58,20,2673390.0
59,20,2258280.0
60,20,1901940.0
61,20,2024040.0
62,20,2432640.0
63,20,1863930.0
64,20,1352760.0
65,20,3030390.0
66,20,2019000.0
67,20,1802550.0
68,20,1540200.0
69,20,2949870.0
70,20,1768380.0
71,20,2284200.0
72,20,2427210.0
73,20,1846980.0
74,20,2611710.0
75,20,2311140.0
76,20,1925370.0
77,20,2512260.0
78,20,2730750.0
79,20,3217080.0
80,20,2090760.0
81,20,2293650.0
82,20,1837590.0
83,20,1961550.0
84,20,1443210.0
85,20,3191250.0
86,20,2902320.0
87,20,2191860.0
88,20,2309880.0
89,20,1937640.0
90,20,1622040.0
91,20,2656830.0
92,20,1890870.0
93,20,2179050.0
94,20,2067540.0
95,20,1940790.0
96,20,3235290.0
97,20,2722500.0
98,20,1932030.0
99,20,1781280.0
100,20,2208870.0
101,20,3564390.0
102,20,1767990.0
103,20,2443530.0
104,20,1756680.0
105,20,1866780.0
106,20,2113470.0
107,20,1922040.0
108,20,2659230.0
109,20,3099780.0
110,20,1834650.0
111,20,1898160.0
112,20,2478660.0
113,20,2713320.0
114,20,2268000.0
115,20,3554820.0
116,20,2606190.0
117,20,2445690.0
118,20,1497900.0
119,20,2534040.0
120,20,2706900.0
121,20,3327480.0
122,20,2524200.0
123,20,2685600.0
124,20,1656930.0
125,20,1685850.0
126,20,2692080.0
127,20,2106510.0
128,20,2995110.0
129,20,2461080.0
130,20,2361180.0
131,20,1954590.0
132,20,3006510.0
133,20,2780970.0
134,20,1823460.0
135,20,2484210.0
136,20,2153190.0
137,20,2293920.0
138,20,2471130.0
139,20,2226660.0
140,20,3978540.0
141,20,2117550.0
142,20,1866450.0
143,20,2849250.0
144,20,2208870.0
145,20,1759440.0
146,20,3812400.0
147,20,2428500.0
148,20,1978320.0
149,20,2024280.0
150,20,3056430.0
151,20,2154330.0
152,20,2135640.0
153,20,1549740.0
154,20,1551570.0
155,20,2606400.0
156,20,1883220.0
157,20,1474260.0
158,20,2521080.0
159,20,1661610.0
160,20,1954500.0
161,20,2101920.0
162,20,2114880.0
163,20,1675230.0
164,20,3176790.0
165,20,2660940.0
166,20,2607990.0
167,20,2064570.0
168,20,3129840.0
169,20,2081370.0
170,20,3098310.0
171,20,1675710.0
172,20,2061900.0
173,20,2238840.0
174,20,1775790.0
175,20,1570110.0
176,20,3463050.0
177,20,1210710.0
178,20,2326110.0
179,20,2541480.0
180,20,2625270.0
181,20,1521240.0
182,20,2010420.0
183,20,2867460.0
184,20,2283030.0
185,20,1795980.0
186,20,2162400.0
187,20,2643600.0
188,20,1752450.0
189,20,2343930.0
190,20,2842530.0
191,20,2386620.0
192,20,2161860.0
193,20,2408190.0
194,20,2039730.0
195,20,1589190.0
196,20,3253260.0
197,20,1694550.0
198,20,2745480.0
199,20,1952370.0
200,20,1723440.0
201,20,1903800.0
202,20,2599140.0
203,20,3113760.0
204,20,2824890.0
205,20,2198940.0
206,20,2458410.0
207,20,2335590.0
208,20,1899120.0
209,20,2477910.0
210,20,2729820.0
211,20,1668810.0
212,20,2934840.0
213,20,2971770.0
214,20,2218980.0
215,20,1809660.0
216,20,1982100.0
217,20,1506330.0
218,20,2252070.0
219,20,2771460.0
220,20,2539680.0
221,20,2519430.0
222,20,3555720.0
223,20,2537160.0
224,20,2665830.0
225,20,2239860.0
226,20,2450190.0
227,20,2978520.0
228,20,1223370.0
229,20,3444120.0
230,20,2371980.0
231,20,2440470.0
232,20,2818020.0
233,20,1880400.0
234,20,2210490.0
235,20,2694750.0
236,20,2600880.0
237,20,2136990.0
238,20,1331250.0
239,20,2520720.0
240,20,1968360.0
241,20,2407230.0
242,20,1616700.0
243,20,1427310.0
244,20,2373840.0
245,20,2911140.0
246,20,2666370.0
247,20,1785720.0
248,20,2888460.0
249,20,1873110.0
250,20,2065650.0
251,20,1431450.0
252,20,2480040.0
253,20,1981980.0
254,20,2470170.0
255,20,2841060.0
256,20,2574390.0
257,20,1568760.0
258,20,2068110.0
259,20,2199570.0
260,20,1593510.0
261,20,2247480.0
262,20,2720760.0
263,20,2600430.0
264,20,2054730.0
265,20,2346960.0
266,20,2629830.0
267,20,2720700.0
268,20,2564340.0
269,20,2103000.0
270,20,1187670.0
271,20,1585830.0
272,20,2726700.0
273,20,2150490.0
274,20,2205630.0
275,20,913170.0
276,20,1141260.0
277,20,1860540.0
278,20,2019240.0
279,20,2777640.0
280,20,2854470.0
281,20,1679730.0
282,20,2308350.0
283,20,2084730.0
284,20,3084570.0
285,20,2089920.0
286,20,2240280.0
287,20,2381220.0
288,20,1891650.0
289,20,2856300.0
290,20,3131610.0
291,20,3170670.0
292,20,1769790.0
293,20,2504250.0
294,20,1832250.0
295,20,1608270.0
296,20,1690920.0
297,20,1551150.0
298,20,2237700.0
299,20,1725780.0
300,20,3076140.0
301,20,2112090.0
302,20,1772010.0
303,20,2095560.0
304,20,2164500.0
305,20,2024370.0
306,20,1563180.0
307,20,2434740.0
308,20,3515730.0
309,20,2561880.0
310,20,2507040.0
311,20,3089070.0
312,20,2116500.0
313,20,3240570.0
314,20,1607700.0
315,20,2030520.0
316,20,2249580.0
317,20,2999490.0
318,20,2500710.0
319,20,1748670.0
320,20,2077830.0
321,20,1873980.0
322,20,2096430.0
323,20,1898490.0
324,20,3565890.0
325,20,2721150.0
326,20,2820660.0
327,20,2659260.0
328,20,1769940.0
329,20,1808910.0
330,20,2659530.0
331,20,1924560.0
332,20,1891560.0
333,20,1795800.0
334,20,2056560.0
335,20,3237870.0
336,20,1833960.0
337,20,1571100.0
338,20,2274930.0
339,20,1712310.0
340,20,2202330.0
341,20,3529770.0
342,20,2161590.0
343,20,2462610.0
344,20,2213640.0
345,20,2084400.0
346,20,2532570.0
347,20,3014670.0
348,20,2590140.0
349,20,2455320.0
350,20,2285130.0
351,20,1533450.0
352,20,1800450.0
353,20,2215650.0
354,20,2576760.0
355,20,2093010.0
356,20,2248260.0
357,20,3092670.0
358,20,2321280.0
359,20,1910640.0
360,20,2210580.0
361,20,3045120.0
362,20,2572590.0
363,20,2310930.0
364,20,2359650.0
365,20,2570790.0
366,20,1847220.0
367,20,2046000.0
368,20,1885680.0
369,20,1958880.0
370,20,2880840.0
371,20,2968080.0
372,20,2686680.0
373,20,2038770.0
374,20,1664580.0
375,20,1980480.0
376,20,2405610.0
377,20,2057460.0
378,20,2011050.0
379,20,1845240.0
380,20,2186070.0
381,20,2337480.0
382,20,1877070.0
383,20,1949700.0
384,20,2632770.0
385,20,2010690.0
386,20,1873230.0
387,20,2507340.0
388,20,2395020.0
389,20,2301030.0
390,20,1934190.0
391,20,2963520.0
392,20,2422710.0
393,20,2334630.0
394,20,2016180.0
395,20,2703960.0
396,20,2188980.0
397,20,1729290.0
398,20,2322270.0
399,20,2184000.0
400,20,2684070.0
401,20,2307900.0
402,20,2394000.0
403,20,2569350.0
404,20,3539940.0
405,20,1710510.0
406,20,2004240.0
407,20,3838140.0
408,20,1965510.0
409,20,2206200.0
410,20,2836440.0
411,20,2973510.0
412,20,3248730.0
413,20,2770050.0
414,20,2227500.0
415,20,2516640.0
416,20,2863650.0
417,20,1990170.0
418,20,2352990.0
419,20,1674720.0
420,20,3059550.0
421,20,1760850.0
422,20,2156490.0
423,20,2743050.0
424,20,2776350.0
425,20,2878650.0
426,20,2835870.0
427,20,1636290.0
428,20,1510560.0
429,20,1651350.0
430,20,1920300.0
431,20,2290350.0
432,20,3873000.0
433,20,2431170.0
434,20,2874120.0
435,20,1818900.0
436,20,1234650.0
437,20,3703650.0
438,20,2510910.0
439,20,2875560.0
440,20,1619520.0
441,20,2752380.0
442,20,1593180.0
443,20,3211800.0
444,20,2659080.0
445,20,2577630.0
446,20,2127270.0
447,20,2672160.0
448,20,1590780.0
449,20,2737560.0
450,20,2592600.0
451,20,1673040.0
452,20,2550720.0
453,20,2109630.0
454,20,2259330.0
455,20,2365950.0
456,20,1854480.0
457,20,2995320.0
458,20,2991600.0
459,20,1781640.0
460,20,3716760.0
461,20,2000490.0
462,20,1883700.0
463,20,3543540.0
464,20,2404650.0
465,20,2744910.0
466,20,1961640.0
467,20,2486910.0
468,20,1995720.0
469,20,2272410.0
470,20,1768230.0
471,20,2191770.0
472,20,1787700.0
473,20,1746990.0
474,20,2537280.0
475,20,1725570.0
476,20,2187360.0
477,20,1674540.0
478,20,2729250.0
479,20,2358300.0
480,20,2723550.0
481,20,2382630.0
482,20,3237360.0
483,20,2316810.0
484,20,2322690.0
485,20,1789320.0
486,20,2506950.0
487,20,1941750.0
488,20,2086290.0
489,20,1440270.0
490,20,2768130.0
491,20,2564640.0
492,20,1697370.0
493,20,2387310.0
494,20,2152950.0
495,20,3270030.0
496,20,2200860.0
497,20,2640930.0
498,20,2669670.0
499,20,2152230.0
500,20,2240340.0
501,20,1686240.0
502,20,2882640.0
503,20,1735260.0
504,20,1512000.0
505,20,1603980.0
506,20,2260290.0
507,20,1955280.0
508,20,3147690.0
509,20,2778060.0
510,20,2474640.0
511,20,2306430.0
512,20,2835210.0
513,20,1737960.0
514,20,2646660.0
515,20,3055440.0
516,20,1554210.0
