iteration,max_houses,score
0,40,16537260.0
1,40,16979340.0
2,40,16100640.0
3,40,16898280.0
4,40,16463610.0
5,40,15715410.0
6,40,16567650.0
7,40,16756500.0
8,40,16556010.0
9,40,16306320.0
10,40,16470180.0
11,40,16540620.0
12,40,16609890.0
13,40,16154250.0
14,40,16763070.0
15,40,16234590.0
16,40,16480650.0
17,40,16382130.0
18,40,16095390.0
19,40,16321590.0
20,40,16433010.0
21,40,16317840.0
22,40,16641180.0
23,40,16585350.0
24,40,16874700.0
25,40,16586070.0
26,40,16312110.0
27,40,16435380.0
28,40,16693860.0
29,40,16217040.0
30,40,16414590.0
31,40,17171910.0
32,40,16694850.0
33,40,15805500.0
34,40,16236390.0
35,40,16485780.0
36,40,16484730.0
37,40,16294350.0
38,40,16506360.0
39,40,16700580.0
40,40,16688880.0
41,40,16346190.0
42,40,16500480.0
43,40,17156250.0
44,40,16330710.0
45,40,16574160.0
46,40,16642170.0
47,40,15696720.0
48,40,17025660.0
49,40,16279650.0
50,40,16477800.0
51,40,16440600.0
52,40,17120700.0
53,40,16332540.0
54,40,16128570.0
55,40,16614360.0
56,40,16620510.0
57,40,16622250.0
58,40,16609230.0
59,40,16687890.0
60,40,16246710.0
61,40,16687830.0
62,40,16384980.0
63,40,16564440.0
64,40,16545810.0
65,40,16682580.0
66,40,16395120.0
67,40,15965760.0
68,40,16779240.0
69,40,16195380.0
70,40,16469700.0
71,40,16644180.0
72,40,16993050.0
73,40,16496940.0
74,40,16631370.0
75,40,16413690.0
76,40,16428300.0
77,40,15989370.0
78,40,16551810.0
79,40,17032320.0
80,40,16415730.0
81,40,16479000.0
82,40,16481880.0
83,40,17337120.0
84,40,16765860.0
85,40,16627440.0
86,40,16443780.0
87,40,17144640.0
88,40,16311390.0
89,40,16422960.0
90,40,16149330.0
91,40,16330020.0
92,40,16470270.0
93,40,16288350.0
94,40,16607700.0
95,40,16322130.0
96,40,16354740.0
97,40,16574790.0
98,40,16502310.0
99,40,16682220.0
