structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"0,0","180,0","180,32","0,32",WATER
MAISON_0,"90,137","102,137","102,147","90,147",MAISON
MAISON_1,"126,84","138,84","138,94","126,94",MAISON
MAISON_2,"6,102","18,102","18,112","6,112",MAISON
BUNGALOW_3,"34,85","45,85","45,92","34,92",BUNGALOW
BUNGALOW_4,"15,82","26,82","26,89","15,89",BUNGALOW
BUNGALOW_5,"29,39","40,39","40,46","29,46",BUNGALOW
BUNGALOW_6,"33,114","44,114","44,121","33,121",BUNGALOW
BUNGALOW_7,"62,80","73,80","73,87","62,87",BUNGALOW
EENGEZINSWONING_8,"157,139","165,139","165,147","157,147",EENGEZINSWONING
EENGEZINSWONING_9,"160,82","168,82","168,90","160,90",EENGEZINSWONING
EENGEZINSWONING_10,"105,105","113,105","113,113","105,113",EENGEZINSWONING
EENGEZINSWONING_11,"31,140","39,140","39,148","31,148",EENGEZINSWONING
EENGEZINSWONING_12,"122,45","130,45","130,53","122,53",EENGEZINSWONING
EENGEZINSWONING_13,"110,69","118,69","118,77","110,77",EENGEZINSWONING
EENGEZINSWONING_14,"86,65","94,65","94,73","86,73",EENGEZINSWONING
EENGEZINSWONING_15,"141,147","149,147","149,155","141,155",EENGEZINSWONING
EENGEZINSWONING_16,"94,75","102,75","102,83","94,83",EENGEZINSWONING
EENGEZINSWONING_17,"69,122","77,122","77,130","69,130",EENGEZINSWONING
EENGEZINSWONING_18,"121,125","129,125","129,133","121,133",EENGEZINSWONING
EENGEZINSWONING_19,"144,49","152,49","152,57","144,57",EENGEZINSWONING
networth,10058141,,,,
