iteration,max_houses,score,coordinates,type
0,20,6978400.0,"(32, 6)",maison
1,20,13737200.0,"(141, 161)",maison
2,20,19873800.0,"(125, 151)",maison
3,20,23097720.0,"(33, 154)",bungalow
4,20,25635360.0,"(142, 7)",bungalow
5,20,27550560.0,"(33, 19)",bungalow
6,20,29465760.0,"(142, 144)",bungalow
7,20,30024360.0,"(126, 164)",bungalow
8,20,31155810.0,"(34, 29)",sfh
9,20,32150460.0,"(34, 143)",sfh
10,20,32444010.0,"(34, 40)",sfh
11,20,33575460.0,"(145, 17)",sfh
12,20,33869010.0,"(34, 51)",sfh
13,20,34179660.0,"(47, 7)",sfh
14,20,34473210.0,"(34, 62)",sfh
15,20,34809510.0,"(110, 153)",sfh
16,20,35111610.0,"(98, 153)",sfh
17,20,35524860.0,"(117, 7)",sfh
18,20,35818410.0,"(58, 7)",sfh
19,20,36111960.0,"(34, 73)",sfh
