,iteration,max_houses,old_score,new_score
0,0,20,9769200.0,9536280.0
1,1,20,9769200.0,9621450.0
2,2,20,9786300.0,9786300.0
3,3,20,10309710.0,10309710.0
4,4,20,10314840.0,10314840.0
5,5,20,10775400.0,10775400.0
6,6,20,10775400.0,10630050.0
7,7,20,10942770.0,10942770.0
8,8,20,10942770.0,10555170.0
9,9,20,10942770.0,10741200.0
10,10,20,10942770.0,10724760.0
11,11,20,11572560.0,11572560.0
12,12,20,11805150.0,11805150.0
13,13,20,11805150.0,11561400.0
14,14,20,12074670.0,12074670.0
15,15,20,12074670.0,11717280.0
16,16,20,12402240.0,12402240.0
17,17,20,12409440.0,12409440.0
18,18,20,12409440.0,12392340.0
19,19,20,12409440.0,11716800.0
20,20,20,12452190.0,12452190.0
21,21,20,12484110.0,12484110.0
22,22,20,12484110.0,11766960.0
23,23,20,12484110.0,11113350.0
24,24,20,12484110.0,12039510.0
25,25,20,12545670.0,12545670.0
26,26,20,12545670.0,12545670.0
27,27,20,12545670.0,12467010.0
28,28,20,12545670.0,12338610.0
29,29,20,12545670.0,12425970.0
30,30,20,12545670.0,12139650.0
31,31,20,12545670.0,11756220.0
32,32,20,12562770.0,12562770.0
33,33,20,12706410.0,12706410.0
34,34,20,12706410.0,11916000.0
35,35,20,12924720.0,12924720.0
36,36,20,12935190.0,12935190.0
37,37,20,12935190.0,12783990.0
38,38,20,12935190.0,12443520.0
39,39,20,13077390.0,13077390.0
40,40,20,13383480.0,13383480.0
41,41,20,13383480.0,12407640.0
42,42,20,13483800.0,13483800.0
43,43,20,13483800.0,12826050.0
44,44,20,13483800.0,12488100.0
45,45,20,13483800.0,12804480.0
46,46,20,13483800.0,13182270.0
47,47,20,13483800.0,12995040.0
48,48,20,13483800.0,13406850.0
49,49,20,13483800.0,12697560.0
50,50,20,13714650.0,13714650.0
51,51,20,13714650.0,12562680.0
52,52,20,13714650.0,13234710.0
53,53,20,13714650.0,12824880.0
54,54,20,13714650.0,12746220.0
55,55,20,13714650.0,12266070.0
56,56,20,13714650.0,12807780.0
57,57,20,13714650.0,13288470.0
58,58,20,13714650.0,13557330.0
59,59,20,13714650.0,13026300.0
60,60,20,13714650.0,13240800.0
61,61,20,13714650.0,13429080.0
62,62,20,13714650.0,13433430.0
63,63,20,13714650.0,13011990.0
64,64,20,13714650.0,13130400.0
65,65,20,13714650.0,12617130.0
66,66,20,13714650.0,12257250.0
67,67,20,13714650.0,12660720.0
68,68,20,13714650.0,13369230.0
69,69,20,13714650.0,12928650.0
70,70,20,13714650.0,12607320.0
71,71,20,13714650.0,12889440.0
72,72,20,13714650.0,12927480.0
73,73,20,13714650.0,12955500.0
74,74,20,13714650.0,12903240.0
75,75,20,13714650.0,13645320.0
76,76,20,13714650.0,12497910.0
77,77,20,13714650.0,13266060.0
78,78,20,13714650.0,12717600.0
79,79,20,13714650.0,13126260.0
80,80,20,13714650.0,12000750.0
81,81,20,13714650.0,12985350.0
82,82,20,13714650.0,12761610.0
83,83,20,13714650.0,13291680.0
84,84,20,13714650.0,13410810.0
85,85,20,13714650.0,12718290.0
86,86,20,13838340.0,13838340.0
87,87,20,13838340.0,13662780.0
88,88,20,13838340.0,12972180.0
89,89,20,13838340.0,13270050.0
90,90,20,13838340.0,13481880.0
91,91,20,13838340.0,12726840.0
92,92,20,13838340.0,13623240.0
93,93,20,13838340.0,13073400.0
94,94,20,13838340.0,13263690.0
95,95,20,13838340.0,13701000.0
96,96,20,13838340.0,13404900.0
97,97,20,13838340.0,13674540.0
98,98,20,13838340.0,13185390.0
99,99,20,13838340.0,13706670.0
