,iteration,max_houses,old_score,new_score
0,0,20,9424800.0,9279450.0
1,1,20,9665040.0,9665040.0
2,2,20,9665040.0,9647940.0
3,3,20,9968280.0,9968280.0
4,4,20,9968280.0,9925530.0
5,5,20,9968280.0,9812550.0
6,6,20,9968280.0,9698100.0
7,7,20,9968280.0,9676530.0
8,8,20,9968280.0,9540630.0
9,9,20,9968280.0,9876510.0
10,10,20,9968280.0,9329010.0
11,11,20,9968280.0,9732720.0
12,12,20,10078080.0,10078080.0
13,13,20,10078080.0,9693630.0
14,14,20,10078080.0,9600360.0
15,15,20,10078080.0,10035330.0
16,16,20,10078080.0,9882780.0
17,17,20,10154460.0,10154460.0
18,18,20,10154460.0,9753750.0
19,19,20,10154460.0,9980610.0
20,20,20,10154460.0,10128810.0
21,21,20,10154460.0,9313500.0
22,22,20,10154460.0,10034760.0
23,23,20,10154460.0,9628860.0
24,24,20,10154460.0,9858060.0
25,25,20,10154460.0,9715260.0
26,26,20,10154460.0,9999510.0
27,27,20,10154460.0,10035900.0
28,28,20,10205760.0,10205760.0
29,29,20,10205760.0,10205760.0
30,30,20,10205760.0,9609150.0
31,31,20,10205760.0,10147050.0
32,32,20,10205760.0,10001130.0
33,33,20,10242360.0,10242360.0
34,34,20,10242360.0,9524400.0
35,35,20,10242360.0,10199610.0
36,36,20,10248630.0,10248630.0
37,37,20,10248630.0,10184790.0
38,38,20,10248630.0,9729930.0
39,39,20,10248630.0,10127550.0
40,40,20,10248630.0,9975030.0
41,41,20,10248630.0,10086180.0
42,42,20,10248630.0,10248630.0
43,43,20,10250910.0,10250910.0
44,44,20,10250910.0,9943680.0
45,45,20,10250910.0,9599550.0
46,46,20,10250910.0,9980730.0
47,47,20,10289430.0,10289430.0
48,48,20,10289430.0,10238130.0
49,49,20,10289430.0,9959400.0
50,50,20,10289430.0,10216230.0
51,51,20,10289430.0,10028370.0
52,52,20,10306530.0,10306530.0
53,53,20,10306530.0,10134030.0
54,54,20,10306530.0,9963780.0
55,55,20,10306530.0,9805080.0
56,56,20,10306530.0,10203930.0
57,57,20,10306530.0,10130970.0
58,58,20,10332180.0,10332180.0
59,59,20,10332180.0,10306530.0
60,60,20,10332180.0,10212480.0
61,61,20,10441980.0,10441980.0
62,62,20,10441980.0,10038720.0
63,63,20,10441980.0,10154130.0
64,64,20,10484730.0,10484730.0
65,65,20,10484730.0,10338810.0
66,66,20,10484730.0,10424880.0
67,67,20,10484730.0,10385550.0
68,68,20,10484730.0,9524610.0
69,69,20,10484730.0,10338330.0
70,70,20,10484730.0,10336530.0
71,71,20,10484730.0,9901020.0
72,72,20,10484730.0,10365030.0
73,73,20,10484730.0,10407780.0
74,74,20,10484730.0,10476180.0
75,75,20,10689930.0,10689930.0
76,76,20,10689930.0,10306980.0
77,77,20,10689930.0,10481310.0
78,78,20,10689930.0,10493730.0
79,79,20,10689930.0,10594170.0
80,80,20,10689930.0,10278780.0
81,81,20,10689930.0,10399230.0
82,82,20,10689930.0,9968130.0
83,83,20,10689930.0,10439130.0
84,84,20,10689930.0,10642050.0
85,85,20,10689930.0,10530330.0
86,86,20,10689930.0,10232280.0
87,87,20,10689930.0,10570800.0
88,88,20,10689930.0,10630080.0
89,89,20,10698480.0,10698480.0
90,90,20,10698480.0,10411200.0
91,91,20,10698480.0,10630080.0
92,92,20,10698480.0,10602720.0
93,93,20,10698480.0,10294920.0
94,94,20,10698480.0,10573650.0
95,95,20,10698480.0,10151880.0
96,96,20,10698480.0,10441980.0
97,97,20,10698480.0,10296630.0
98,98,20,10698480.0,10650600.0
99,99,20,10698480.0,10668030.0
