,iteration,max_houses,old_score,new_score
0,0,20,16549950.0,15959550.0
1,1,20,16549950.0,12919350.0
2,2,20,16549950.0,14634750.0
3,3,20,16549950.0,12633750.0
4,4,20,16549950.0,14715510.0
5,5,20,16549950.0,12908400.0
6,6,20,16549950.0,15046830.0
7,7,20,16549950.0,15926070.0
8,8,20,16549950.0,13972500.0
9,9,20,16549950.0,12951150.0
10,10,20,16549950.0,13698150.0
11,11,20,16549950.0,14553000.0
12,12,20,16549950.0,14834670.0
13,13,20,16549950.0,15556200.0
14,14,20,16549950.0,15474150.0
15,15,20,16549950.0,15347250.0
16,16,20,16549950.0,15108750.0
17,17,20,16549950.0,15877350.0
18,18,20,16549950.0,15369630.0
19,19,20,16549950.0,15984390.0
20,20,20,16549950.0,13736850.0
21,21,20,16549950.0,16060110.0
22,22,20,16549950.0,15880950.0
23,23,20,16549950.0,14056350.0
24,24,20,16549950.0,14236950.0
25,25,20,16549950.0,15255990.0
26,26,20,16549950.0,16141830.0
27,27,20,16549950.0,14229750.0
28,28,20,16549950.0,16207200.0
29,29,20,16549950.0,13568550.0
30,30,20,16549950.0,13957800.0
31,31,20,16549950.0,14805750.0
32,32,20,16549950.0,15590400.0
33,33,20,16549950.0,15594900.0
34,34,20,16549950.0,13069350.0
35,35,20,16549950.0,16220550.0
36,36,20,16549950.0,15049650.0
37,37,20,16549950.0,13488150.0
38,38,20,16549950.0,15714600.0
39,39,20,16549950.0,13790070.0
40,40,20,16549950.0,13039050.0
41,41,20,16549950.0,15748590.0
42,42,20,16549950.0,15771750.0
43,43,20,16549950.0,14057700.0
44,44,20,16549950.0,15353400.0
45,45,20,16549950.0,15954990.0
46,46,20,16549950.0,16476750.0
47,47,20,16549950.0,14643300.0
48,48,20,16549950.0,13002450.0
49,49,20,16549950.0,12414150.0
50,50,20,16549950.0,15045750.0
51,51,20,16549950.0,13283190.0
52,52,20,16549950.0,14959350.0
53,53,20,16549950.0,15743700.0
54,54,20,16549950.0,15487800.0
55,55,20,16549950.0,15081450.0
56,56,20,16549950.0,12925500.0
57,57,20,16549950.0,12910800.0
58,58,20,16549950.0,15146100.0
59,59,20,16549950.0,12597150.0
60,60,20,16549950.0,10876950.0
61,61,20,16549950.0,16101390.0
62,62,20,16549950.0,13995750.0
63,63,20,16549950.0,15651000.0
64,64,20,16549950.0,14420250.0
65,65,20,16549950.0,15569550.0
66,66,20,16549950.0,13920900.0
67,67,20,16549950.0,14793150.0
68,68,20,16549950.0,15487800.0
69,69,20,16549950.0,16071750.0
70,70,20,16549950.0,14318430.0
71,71,20,16549950.0,13113600.0
72,72,20,16549950.0,15955230.0
73,73,20,16549950.0,13365750.0
74,74,20,16549950.0,13260870.0
75,75,20,16549950.0,13728300.0
76,76,20,16549950.0,15453600.0
77,77,20,16549950.0,15518790.0
78,78,20,16549950.0,15446100.0
79,79,20,16549950.0,14056350.0
80,80,20,16549950.0,15340050.0
81,81,20,16549950.0,15561000.0
82,82,20,16549950.0,11682150.0
83,83,20,16549950.0,16000350.0
84,84,20,16549950.0,15842550.0
85,85,20,16549950.0,15432750.0
86,86,20,16549950.0,14976150.0
87,87,20,16549950.0,14734950.0
88,88,20,16549950.0,14427450.0
89,89,20,16549950.0,15598350.0
90,90,20,16549950.0,12941670.0
91,91,20,16549950.0,14382300.0
92,92,20,16549950.0,16327950.0
93,93,20,16549950.0,12959700.0
94,94,20,16549950.0,12633750.0
95,95,20,16549950.0,14221830.0
96,96,20,16549950.0,15781350.0
97,97,20,16549950.0,11791950.0
98,98,20,16549950.0,14677830.0
99,99,20,16549950.0,15518250.0
100,100,20,16549950.0,15538800.0
101,101,20,16549950.0,13292550.0
102,102,20,16549950.0,12916950.0
103,103,20,16549950.0,16183950.0
104,104,20,16549950.0,12194550.0
105,105,20,16549950.0,12633750.0
106,106,20,16549950.0,14103150.0
107,107,20,16549950.0,13342800.0
108,108,20,16549950.0,15805830.0
109,109,20,16549950.0,14379510.0
110,110,20,16549950.0,13139250.0
111,111,20,16549950.0,15889470.0
112,112,20,16549950.0,15507300.0
113,113,20,16549950.0,14788650.0
114,114,20,16549950.0,14823900.0
115,115,20,16549950.0,14872800.0
116,116,20,16549950.0,13329150.0
117,117,20,16549950.0,15844950.0
118,118,20,16549950.0,15314400.0
119,119,20,16549950.0,14536950.0
120,120,20,16549950.0,13142700.0
121,121,20,16549950.0,13087950.0
122,122,20,16549950.0,15569550.0
123,123,20,16549950.0,13475550.0
124,124,20,16549950.0,15735150.0
125,125,20,16549950.0,15807750.0
126,126,20,16549950.0,13260870.0
127,127,20,16549950.0,15333900.0
128,128,20,16549950.0,14719950.0
129,129,20,16549950.0,14507850.0
130,130,20,16549950.0,16016310.0
131,131,20,16549950.0,15877350.0
132,132,20,16549950.0,14192100.0
133,133,20,16549950.0,13445550.0
134,134,20,16549950.0,12968250.0
135,135,20,16549950.0,16016910.0
136,136,20,16549950.0,13053750.0
137,137,20,16549950.0,13868850.0
138,138,20,16549950.0,14454150.0
139,139,20,16549950.0,14292000.0
140,140,20,16549950.0,13967400.0
141,141,20,16549950.0,15649950.0
142,142,20,16549950.0,15462150.0
143,143,20,16549950.0,11901750.0
144,144,20,16549950.0,15726600.0
145,145,20,16549950.0,13255950.0
146,146,20,16549950.0,13139250.0
147,147,20,16549950.0,11791950.0
148,148,20,16549950.0,13875750.0
149,149,20,16549950.0,15546300.0
150,150,20,16549950.0,13045200.0
151,151,20,16549950.0,13085310.0
152,152,20,16549950.0,15577800.0
153,153,20,16549950.0,14327250.0
154,154,20,16549950.0,13308750.0
155,155,20,16549950.0,15875400.0
156,156,20,16549950.0,14031000.0
157,157,20,16549950.0,12968250.0
158,158,20,16549950.0,12926550.0
159,159,20,16549950.0,13149150.0
160,160,20,16549950.0,15410850.0
161,161,20,16549950.0,14212470.0
162,162,20,16549950.0,15488550.0
163,163,20,16549950.0,12966990.0
164,164,20,16549950.0,15230250.0
165,165,20,16549950.0,12231150.0
166,166,20,16549950.0,15696150.0
167,167,20,16549950.0,13966050.0
168,168,20,16549950.0,14523150.0
169,169,20,16549950.0,14829750.0
170,170,20,16549950.0,13802850.0
171,171,20,16549950.0,15558300.0
172,172,20,16549950.0,15530550.0
173,173,20,16549950.0,14246850.0
174,174,20,16549950.0,14363850.0
175,175,20,16549950.0,13036350.0
176,176,20,16549950.0,15607500.0
177,177,20,16549950.0,13334070.0
178,178,20,16549950.0,15069150.0
179,179,20,16549950.0,15370500.0
180,180,20,16549950.0,12560550.0
181,181,20,16549950.0,15776910.0
182,182,20,16549950.0,15502200.0
183,183,20,16549950.0,16137990.0
184,184,20,16549950.0,12882750.0
185,185,20,16549950.0,13182750.0
186,186,20,16549950.0,14061150.0
187,187,20,16549950.0,15959550.0
188,188,20,16549950.0,13109550.0
189,189,20,16549950.0,15308550.0
190,190,20,16549950.0,14598150.0
191,191,20,16549950.0,16513350.0
192,192,20,16549950.0,13548750.0
193,193,20,16549950.0,12926550.0
194,194,20,16549950.0,14909790.0
195,195,20,16549950.0,15516870.0
196,196,20,16549950.0,15594900.0
197,197,20,16549950.0,15870750.0
198,198,20,16549950.0,13925190.0
199,199,20,16549950.0,15891390.0
200,200,20,16549950.0,13659900.0
201,201,20,16549950.0,14738700.0
202,202,20,16549950.0,14484900.0
203,203,20,16549950.0,15991590.0
204,204,20,16549950.0,15365700.0
205,205,20,16549950.0,16183950.0
206,206,20,16549950.0,15819300.0
207,207,20,16549950.0,16096350.0
208,208,20,16549950.0,15090000.0
209,209,20,16549950.0,15035550.0
210,210,20,16549950.0,15415350.0
211,211,20,16549950.0,14792400.0
212,212,20,16549950.0,14225670.0
213,213,20,16549950.0,16269450.0
214,214,20,16549950.0,14853300.0
215,215,20,16549950.0,14677830.0
216,216,20,16549950.0,15624300.0
217,217,20,16549950.0,13011030.0
218,218,20,16549950.0,15216900.0
219,219,20,16549950.0,15556200.0
220,220,20,16549950.0,15333900.0
221,221,20,16549950.0,13250100.0
222,222,20,16549950.0,10035150.0
223,223,20,16549950.0,13771350.0
224,224,20,16549950.0,12780150.0
225,225,20,16549950.0,15590400.0
226,226,20,16549950.0,15684990.0
227,227,20,16549950.0,13337670.0
228,228,20,16549950.0,12816750.0
229,229,20,16549950.0,12231150.0
230,230,20,16549950.0,11791950.0
231,231,20,16549950.0,12861870.0
232,232,20,16549950.0,13094670.0
233,233,20,16549950.0,14625270.0
234,234,20,16549950.0,13113600.0
235,235,20,16549950.0,14943600.0
236,236,20,16549950.0,13177230.0
237,237,20,16549950.0,15791250.0
238,238,20,16549950.0,14032230.0
239,239,20,16549950.0,15875400.0
240,240,20,16549950.0,15076650.0
241,241,20,16549950.0,15754650.0
242,242,20,16549950.0,12941670.0
243,243,20,16549950.0,14520150.0
244,244,20,16549950.0,15979050.0
245,245,20,16549950.0,15771750.0
246,246,20,16549950.0,12414150.0
247,247,20,16549950.0,12934050.0
248,248,20,16549950.0,12831450.0
249,249,20,16549950.0,14573550.0
250,250,20,16549950.0,12941670.0
251,251,20,16549950.0,15420270.0
252,252,20,16549950.0,14327250.0
253,253,20,16549950.0,12782070.0
254,254,20,16549950.0,14199300.0
255,255,20,16549950.0,14940630.0
256,256,20,16549950.0,15012750.0
257,257,20,16549950.0,14130900.0
258,258,20,16549950.0,12993900.0
259,259,20,16549950.0,13286700.0
260,260,20,16549950.0,13639350.0
261,261,20,16549950.0,15465900.0
262,262,20,16549950.0,14726400.0
263,263,20,16549950.0,15088650.0
264,264,20,16549950.0,15594900.0
265,265,20,16549950.0,14967900.0
266,266,20,16549950.0,14588550.0
267,267,20,16549950.0,13130700.0
268,268,20,16549950.0,16164450.0
269,269,20,16549950.0,13329150.0
270,270,20,16549950.0,13700250.0
271,271,20,16549950.0,15094800.0
272,272,20,16549950.0,14094300.0
273,273,20,16549950.0,16112070.0
274,274,20,16549950.0,15884790.0
275,275,20,16549950.0,14292000.0
276,276,20,16549950.0,15634950.0
277,277,20,16549950.0,13438950.0
278,278,20,16549950.0,13185450.0
279,279,20,16549950.0,15275400.0
280,280,20,16549950.0,15132750.0
281,281,20,16549950.0,12670350.0
282,282,20,16549950.0,14265870.0
283,283,20,16549950.0,15094800.0
284,284,20,16549950.0,15729030.0
285,285,20,16549950.0,16099800.0
286,286,20,16549950.0,15987600.0
287,287,20,16549950.0,16299900.0
288,288,20,16549950.0,14092950.0
289,289,20,16549950.0,12968250.0
290,290,20,16549950.0,15573300.0
291,291,20,16549950.0,15397710.0
292,292,20,16549950.0,14338500.0
293,293,20,16549950.0,15566850.0
294,294,20,16549950.0,13695150.0
295,295,20,16549950.0,14099670.0
296,296,20,16549950.0,14326110.0
297,297,20,16549950.0,14360400.0
298,298,20,16549950.0,15424110.0
299,299,20,16549950.0,14271450.0
300,300,20,16549950.0,15418050.0
301,301,20,16549950.0,14454150.0
302,302,20,16549950.0,15744990.0
303,303,20,16549950.0,15322950.0
304,304,20,16549950.0,14688450.0
305,305,20,16549950.0,15522000.0
306,306,20,16549950.0,15893310.0
307,307,20,16549950.0,13122150.0
308,308,20,16549950.0,16099800.0
309,309,20,16549950.0,12487350.0
310,310,20,16549950.0,13849350.0
311,311,20,16549950.0,15419400.0
312,312,20,16549950.0,13792830.0
313,313,20,16549950.0,14229750.0
314,314,20,16549950.0,15230250.0
315,315,20,16549950.0,16101390.0
316,316,20,16549950.0,16012230.0
317,317,20,16549950.0,12377550.0
318,318,20,16549950.0,15489630.0
319,319,20,16549950.0,15130350.0
320,320,20,16549950.0,13841550.0
321,321,20,16549950.0,16265700.0
322,322,20,16549950.0,16345050.0
323,323,20,16549950.0,13156050.0
324,324,20,16549950.0,10657350.0
325,325,20,16549950.0,15651000.0
326,326,20,16549950.0,10693950.0
327,327,20,16549950.0,16375500.0
328,328,20,16549950.0,12994230.0
329,329,20,16549950.0,13849050.0
330,330,20,16549950.0,13096500.0
331,331,20,16549950.0,10913550.0
332,332,20,16549950.0,15614400.0
333,333,20,16549950.0,12925500.0
334,334,20,16549950.0,13911300.0
335,335,20,16549950.0,13553850.0
336,336,20,16549950.0,16048230.0
337,337,20,16549950.0,14940630.0
338,338,20,16549950.0,15522000.0
339,339,20,16549950.0,14572800.0
340,340,20,16549950.0,12891300.0
341,341,20,16549950.0,15193650.0
342,342,20,16549950.0,13512450.0
343,343,20,16549950.0,15661950.0
344,344,20,16549950.0,12903150.0
345,345,20,16549950.0,13085310.0
346,346,20,16549950.0,13513500.0
347,347,20,16549950.0,15948600.0
348,348,20,16549950.0,14080110.0
349,349,20,16549950.0,14598150.0
350,350,20,16549950.0,15634950.0
351,351,20,16549950.0,11206350.0
352,352,20,16549950.0,16128030.0
353,353,20,16549950.0,12951150.0
354,354,20,16549950.0,15479250.0
355,355,20,16549950.0,14462700.0
356,356,20,16549950.0,15361110.0
357,357,20,16549950.0,16190550.0
358,358,20,16549950.0,13768350.0
359,359,20,16549950.0,13068150.0
360,360,20,16549950.0,13224450.0
361,361,20,16549950.0,14646750.0
362,362,20,16549950.0,15824790.0
363,363,20,16549950.0,15213150.0
364,364,20,16549950.0,13437900.0
365,365,20,16549950.0,12891300.0
366,366,20,16549950.0,15370470.0
367,367,20,16549950.0,13433100.0
368,368,20,16549950.0,13669800.0
369,369,20,16549950.0,15275400.0
370,370,20,16549950.0,15785190.0
371,371,20,16549950.0,15920550.0
372,372,20,16549950.0,14960430.0
373,373,20,16549950.0,15672630.0
374,374,20,16549950.0,15365700.0
375,375,20,16549950.0,14687400.0
376,376,20,16549950.0,15903450.0
377,377,20,16549950.0,13585350.0
378,378,20,16549950.0,13260870.0
379,379,20,16549950.0,15937650.0
380,380,20,16549950.0,15118050.0
381,381,20,16549950.0,15862050.0
382,382,20,16549950.0,15781350.0
383,383,20,16549950.0,14917230.0
384,384,20,16549950.0,13096500.0
385,385,20,16549950.0,12848550.0
386,386,20,16549950.0,15507300.0
387,387,20,16549950.0,13548750.0
388,388,20,16549950.0,16158630.0
389,389,20,16549950.0,15686670.0
390,390,20,16549950.0,13590270.0
391,391,20,16549950.0,15021600.0
392,392,20,16549950.0,14372400.0
393,393,20,16549950.0,15098310.0
394,394,20,16549950.0,15791250.0
395,395,20,16549950.0,13492590.0
396,396,20,16549950.0,13490550.0
397,397,20,16549950.0,15004500.0
398,398,20,16549950.0,13940700.0
399,399,20,16549950.0,10254750.0
400,400,20,16549950.0,15997350.0
401,401,20,16549950.0,15091350.0
402,402,20,16549950.0,13792830.0
403,403,20,16549950.0,13397550.0
404,404,20,16549950.0,15482700.0
405,405,20,16549950.0,14497830.0
406,406,20,16549950.0,15810510.0
407,407,20,16549950.0,15651000.0
408,408,20,16549950.0,13542390.0
409,409,20,16549950.0,16013310.0
410,410,20,16549950.0,14271450.0
411,411,20,16549950.0,12633750.0
412,412,20,16549950.0,14426400.0
413,413,20,16549950.0,11755350.0
414,414,20,16549950.0,13041450.0
415,415,20,16549950.0,12816750.0
416,416,20,16549950.0,14433600.0
417,417,20,16549950.0,14777430.0
418,418,20,16549950.0,14258430.0
419,419,20,16549950.0,14164050.0
420,420,20,16549950.0,16099800.0
421,421,20,16549950.0,14094300.0
422,422,20,16549950.0,15552450.0
423,423,20,16549950.0,15496230.0
424,424,20,16549950.0,16280400.0
425,425,20,16549950.0,14382300.0
426,426,20,16549950.0,15391350.0
427,427,20,16549950.0,15658500.0
428,428,20,16549950.0,16229100.0
429,429,20,16549950.0,16099800.0
430,430,20,16549950.0,15931500.0
431,431,20,16549950.0,14917230.0
432,432,20,16549950.0,15230250.0
433,433,20,16549950.0,13512150.0
434,434,20,16549950.0,15707100.0
435,435,20,16549950.0,13690650.0
436,436,20,16549950.0,15738390.0
437,437,20,16549950.0,15513450.0
438,438,20,16549950.0,15045750.0
439,439,20,16549950.0,15312000.0
440,440,20,16549950.0,14353950.0
441,441,20,16549950.0,13312350.0
442,442,20,16549950.0,13117230.0
443,443,20,16549950.0,15625650.0
