,iteration,max_houses,score
0,0,60,9174400.0
1,1,60,13517600.0
2,2,60,13578600.0
3,3,60,16128400.0
4,4,60,16555400.0
5,5,60,16140600.0
6,6,60,17006800.0
7,7,60,17763200.0
8,8,60,18007200.0
9,9,60,18285360.0
10,10,60,18684600.0
11,11,60,18620160.0
12,12,60,18754680.0
13,13,60,18658920.0
14,14,60,18898320.0
15,15,60,19137720.0
16,16,60,19425000.0
17,17,60,19664400.0
18,18,60,19921680.0
19,19,60,20163000.0
20,20,60,20324520.0
21,21,60,20472000.0
22,22,60,20635440.0
23,23,60,20741640.0
24,24,60,21035190.0
25,25,60,21328740.0
26,26,60,21536220.0
27,27,60,21821220.0
28,28,60,21867930.0
29,29,60,21961380.0
30,30,60,22218330.0
31,31,60,22283730.0
32,32,60,22504080.0
33,33,60,22724430.0
34,34,60,22761780.0
35,35,60,22908930.0
36,36,60,23118000.0
37,37,60,23411550.0
38,38,60,23505000.0
39,39,60,23652150.0
40,40,60,23835900.0
41,41,60,24112350.0
42,42,60,24318120.0
43,43,60,24697170.0
44,44,60,24889830.0
45,45,60,25047930.0
46,46,60,25247430.0
47,47,60,25481130.0
48,48,60,25697730.0
49,49,60,25895970.0
50,50,60,25997970.0
51,51,60,26237820.0
52,52,60,26486220.0
53,53,60,26771220.0
54,54,60,27047670.0
55,55,60,27222870.0
56,56,60,27434670.0
57,57,60,27609870.0
58,58,60,27858270.0
59,59,60,28070070.0
