iteration,max_houses,score
0,20,1957140.0
1,20,2434110.0
2,20,3100200.0
3,20,2538720.0
4,20,2558550.0
5,20,3171270.0
6,20,1651320.0
7,20,2788410.0
8,20,1790820.0
9,20,1090320.0
10,20,2084160.0
11,20,2819340.0
12,20,1419780.0
13,20,1767600.0
14,20,3579570.0
15,20,1654590.0
16,20,2130150.0
17,20,1824060.0
18,20,2371260.0
19,20,1913250.0
20,20,2357580.0
21,20,2363820.0
22,20,2547030.0
23,20,1546710.0
24,20,2236560.0
25,20,2228610.0
26,20,2053770.0
27,20,2185590.0
28,20,2092320.0
29,20,2965020.0
30,20,2748450.0
31,20,1908330.0
32,20,2705940.0
33,20,2697270.0
34,20,1900470.0
35,20,2712720.0
36,20,2007900.0
37,20,2289030.0
38,20,2699700.0
39,20,1591920.0
40,20,2537640.0
41,20,2598060.0
42,20,3776940.0
43,20,3152190.0
44,20,2011230.0
45,20,1831110.0
46,20,2537730.0
47,20,2265990.0
48,20,2951970.0
49,20,3357150.0
50,20,2375970.0
51,20,2893290.0
52,20,1703100.0
53,20,2131260.0
54,20,2061510.0
55,20,3109200.0
56,20,1964670.0
57,20,1676970.0
58,20,2469180.0
59,20,2551500.0
60,20,3240330.0
61,20,1960860.0
62,20,2117580.0
63,20,1997790.0
64,20,2248440.0
65,20,1866810.0
66,20,3340950.0
67,20,1440180.0
68,20,2215020.0
69,20,2812260.0
70,20,2930670.0
71,20,2038170.0
72,20,2786400.0
73,20,3188640.0
74,20,2436360.0
75,20,1878690.0
76,20,2764440.0
77,20,2258850.0
78,20,1943040.0
79,20,3097260.0
80,20,2318850.0
81,20,2957700.0
82,20,3458790.0
83,20,2860830.0
84,20,2066190.0
85,20,2051040.0
86,20,1985130.0
87,20,1467360.0
88,20,2584380.0
89,20,2126160.0
90,20,2271660.0
91,20,2626800.0
92,20,2991570.0
93,20,3119370.0
94,20,1808190.0
95,20,2440830.0
96,20,2626200.0
97,20,2248620.0
98,20,2739510.0
99,20,2896350.0
100,20,2280540.0
101,20,1960410.0
102,20,2420430.0
103,20,2576490.0
104,20,2796840.0
105,20,2274390.0
106,20,2115840.0
107,20,2789880.0
108,20,1914540.0
109,20,1697850.0
110,20,1296480.0
111,20,2557950.0
112,20,2622510.0
113,20,2588700.0
114,20,3439620.0
115,20,3505830.0
116,20,2503530.0
117,20,1418880.0
118,20,1873920.0
119,20,2308260.0
120,20,2256210.0
121,20,2631600.0
122,20,2320080.0
123,20,2624040.0
124,20,2242050.0
125,20,2672430.0
126,20,2996760.0
127,20,1736370.0
128,20,1743900.0
129,20,2484720.0
130,20,1697700.0
131,20,2536620.0
132,20,2772840.0
133,20,1458000.0
134,20,1742940.0
135,20,1870260.0
136,20,1910250.0
137,20,2395860.0
138,20,2127870.0
139,20,3423120.0
140,20,1881540.0
141,20,1955160.0
142,20,1972530.0
143,20,1792920.0
144,20,1943370.0
145,20,2616960.0
146,20,2300430.0
147,20,2070360.0
148,20,1410570.0
149,20,2595390.0
150,20,2618910.0
151,20,2684700.0
152,20,3360000.0
153,20,2752560.0
154,20,1748010.0
155,20,1230780.0
156,20,2502510.0
157,20,1946580.0
158,20,2393400.0
159,20,2746620.0
160,20,3226740.0
161,20,2383320.0
162,20,2292150.0
163,20,2896050.0
164,20,1315020.0
165,20,1493910.0
166,20,1973910.0
167,20,1719420.0
168,20,1568310.0
169,20,1916790.0
170,20,2091630.0
171,20,1902690.0
172,20,1983360.0
173,20,2431410.0
174,20,3218850.0
175,20,2654850.0
176,20,2803680.0
177,20,2329260.0
178,20,2183940.0
179,20,2258820.0
180,20,2808090.0
181,20,2447700.0
182,20,2149170.0
183,20,2920080.0
184,20,2627100.0
185,20,3372810.0
186,20,2911740.0
187,20,1718670.0
188,20,2776650.0
189,20,3077760.0
190,20,2635470.0
191,20,3168630.0
192,20,3364380.0
193,20,2108610.0
194,20,1887780.0
195,20,2492640.0
196,20,1810380.0
197,20,2447970.0
198,20,3330150.0
199,20,2290530.0
200,20,1436100.0
201,20,1806120.0
202,20,1566600.0
203,20,1472700.0
204,20,2066580.0
205,20,3691260.0
206,20,2338440.0
207,20,1932150.0
208,20,2474130.0
209,20,2185410.0
210,20,2825910.0
211,20,2039190.0
212,20,2424120.0
213,20,1978650.0
214,20,2641410.0
215,20,1843200.0
216,20,2077650.0
217,20,2059170.0
218,20,3128010.0
219,20,2023320.0
220,20,2502990.0
221,20,1935720.0
222,20,2430120.0
223,20,2284110.0
224,20,2589840.0
225,20,1469610.0
226,20,2768730.0
227,20,1985610.0
228,20,2498310.0
229,20,3516660.0
230,20,2907180.0
231,20,2416320.0
232,20,1908390.0
233,20,2710320.0
234,20,3014460.0
235,20,2837700.0
236,20,2601360.0
237,20,1649520.0
238,20,2590380.0
239,20,2814990.0
240,20,2441730.0
241,20,2506140.0
242,20,2739990.0
243,20,2629740.0
244,20,2715450.0
245,20,2295810.0
246,20,2948550.0
247,20,1687860.0
248,20,2623290.0
249,20,1779840.0
250,20,2018010.0
251,20,2247450.0
252,20,2938830.0
253,20,2875140.0
254,20,3039540.0
255,20,2770680.0
256,20,3152790.0
257,20,2165700.0
258,20,3968100.0
259,20,2252760.0
260,20,2340000.0
261,20,2800080.0
262,20,1858050.0
263,20,2249010.0
264,20,1912860.0
265,20,1543710.0
266,20,2876910.0
267,20,2605710.0
268,20,2808330.0
269,20,2092200.0
270,20,2591040.0
271,20,2461020.0
272,20,2062590.0
273,20,3028200.0
274,20,2192550.0
275,20,2763420.0
276,20,3498690.0
277,20,2132460.0
278,20,1837380.0
279,20,2798610.0
280,20,2282640.0
281,20,1701720.0
282,20,2000070.0
283,20,4606800.0
284,20,2516310.0
285,20,2394120.0
286,20,1891650.0
287,20,1977300.0
288,20,2916060.0
289,20,1416630.0
290,20,1721610.0
291,20,1728330.0
292,20,2091090.0
293,20,3058170.0
294,20,1751700.0
295,20,2386650.0
296,20,2801430.0
297,20,3141450.0
298,20,2138670.0
299,20,3146850.0
300,20,1919370.0
301,20,2456070.0
302,20,1545450.0
303,20,1140150.0
304,20,1902510.0
305,20,2488200.0
306,20,2067120.0
307,20,2546640.0
308,20,2895600.0
309,20,1492740.0
310,20,2417940.0
311,20,2393040.0
312,20,2099130.0
313,20,3234750.0
314,20,1787550.0
315,20,3471390.0
316,20,1467480.0
317,20,2748240.0
318,20,1787610.0
319,20,2534820.0
320,20,2424750.0
321,20,3190020.0
322,20,3034560.0
323,20,2264100.0
324,20,1342380.0
325,20,2332980.0
326,20,2556360.0
327,20,2309640.0
328,20,2478300.0
329,20,2174400.0
330,20,2519370.0
331,20,2024160.0
332,20,2424240.0
333,20,1781100.0
334,20,2403360.0
335,20,2555100.0
336,20,2831730.0
337,20,2567370.0
338,20,1719090.0
339,20,2903910.0
340,20,3352470.0
341,20,2594160.0
342,20,2299470.0
343,20,1572000.0
344,20,2897550.0
345,20,2424600.0
346,20,2347470.0
347,20,1923120.0
348,20,3159120.0
349,20,2254050.0
350,20,2055990.0
351,20,3335790.0
352,20,4140150.0
353,20,1895670.0
354,20,2079750.0
355,20,1857180.0
356,20,2880360.0
357,20,2397750.0
358,20,2942970.0
359,20,2114790.0
360,20,2717370.0
361,20,2878590.0
362,20,2046270.0
363,20,1957290.0
364,20,2238870.0
365,20,1572270.0
366,20,3000120.0
367,20,1989120.0
368,20,2751600.0
369,20,2270490.0
370,20,2835600.0
371,20,2188320.0
372,20,2116350.0
373,20,2004390.0
374,20,2589150.0
375,20,2505810.0
376,20,2514000.0
377,20,2977890.0
378,20,2451120.0
379,20,1774350.0
380,20,2683890.0
381,20,1827660.0
382,20,2063580.0
383,20,2389950.0
384,20,2705010.0
385,20,2122440.0
386,20,1835640.0
387,20,2284410.0
388,20,2645760.0
389,20,2131470.0
390,20,2739180.0
391,20,2340840.0
392,20,2013060.0
393,20,2100180.0
394,20,2303670.0
395,20,1929360.0
396,20,2447250.0
397,20,4143870.0
398,20,2683350.0
399,20,2878740.0
400,20,2102880.0
401,20,2467110.0
402,20,1780290.0
403,20,3221430.0
404,20,1968420.0
405,20,1653330.0
406,20,2422080.0
407,20,1857330.0
408,20,2136900.0
409,20,1509840.0
410,20,2772510.0
411,20,2105370.0
412,20,2206560.0
413,20,2122620.0
414,20,2393670.0
415,20,3282600.0
416,20,2187960.0
417,20,2399340.0
418,20,3035010.0
419,20,2584350.0
420,20,2142900.0
421,20,2288670.0
422,20,1459350.0
423,20,1938420.0
424,20,2519190.0
425,20,1930920.0
426,20,1189950.0
427,20,1766700.0
428,20,2321220.0
429,20,1413540.0
430,20,2654310.0
431,20,2061210.0
432,20,1966290.0
433,20,3038820.0
434,20,2577900.0
435,20,2154690.0
436,20,2344950.0
437,20,2098650.0
438,20,3032880.0
439,20,1499940.0
440,20,1666380.0
441,20,875520.0
442,20,3859950.0
443,20,3215550.0
444,20,2406600.0
445,20,2392530.0
446,20,2778990.0
447,20,1781460.0
448,20,1567200.0
449,20,2330550.0
450,20,2329650.0
451,20,2739690.0
452,20,2004600.0
453,20,2710350.0
454,20,1433370.0
455,20,2818170.0
456,20,2808090.0
457,20,2869080.0
458,20,2560500.0
459,20,2344770.0
460,20,2087700.0
