structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"0,0","180,0","180,32","0,32",WATER
MAISON_0,"135,114","147,114","147,124","135,124",MAISON
MAISON_1,"128,68","140,68","140,78","128,78",MAISON
MAISON_2,"8,120","20,120","20,130","8,130",MAISON
BUNGALOW_3,"96,142","107,142","107,149","96,149",BUNGALOW
BUNGALOW_4,"98,36","109,36","109,43","98,43",BUNGALOW
BUNGALOW_5,"81,105","92,105","92,112","81,112",BUNGALOW
BUNGALOW_6,"151,137","162,137","162,144","151,144",BUNGALOW
BUNGALOW_7,"37,80","48,80","48,87","37,87",BUNGALOW
EENGEZINSWONING_8,"46,132","54,132","54,140","46,140",EENGEZINSWONING
EENGEZINSWONING_9,"122,97","130,97","130,105","122,105",EENGEZINSWONING
EENGEZINSWONING_10,"84,55","92,55","92,63","84,63",EENGEZINSWONING
EENGEZINSWONING_11,"53,58","61,58","61,66","53,66",EENGEZINSWONING
EENGEZINSWONING_12,"14,85","22,85","22,93","14,93",EENGEZINSWONING
EENGEZINSWONING_13,"155,99","163,99","163,107","155,107",EENGEZINSWONING
EENGEZINSWONING_14,"127,148","135,148","135,156","127,156",EENGEZINSWONING
EENGEZINSWONING_15,"80,135","88,135","88,143","80,143",EENGEZINSWONING
EENGEZINSWONING_16,"5,49","13,49","13,57","5,57",EENGEZINSWONING
EENGEZINSWONING_17,"155,33","163,33","163,41","155,41",EENGEZINSWONING
EENGEZINSWONING_18,"94,60","102,60","102,68","94,68",EENGEZINSWONING
EENGEZINSWONING_19,"125,136","133,136","133,144","125,144",EENGEZINSWONING
networth,11699310,,,,
