structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"0,0","180,0","180,32","0,32",WATER
MAISON_1,"125,121","137,121","137,131","125,131",MAISON
MAISON_2,"74,125","86,125","86,135","74,135",MAISON
BUNGALOW_3,"117,44","128,44","128,51","117,51",BUNGALOW
BUNGALOW_6,"38,128","49,128","49,135","38,135",BUNGALOW
EENGEZINSWONING_9,"59,69","67,69","67,77","59,77",EENGEZINSWONING
EENGEZINSWONING_10,"97,52","105,52","105,60","97,60",EENGEZINSWONING
EENGEZINSWONING_11,"43,36","51,36","51,44","43,44",EENGEZINSWONING
EENGEZINSWONING_18,"64,94","72,94","72,102","64,102",EENGEZINSWONING
MAISON_1,"105,95","117,95","117,105","105,105",MAISON
BUNGALOW_10,"158,141","169,141","169,148","158,148",BUNGALOW
EENGEZINSWONING_12,"134,76","142,76","142,84","134,84",EENGEZINSWONING
EENGEZINSWONING_18,"149,61","157,61","157,69","149,69",EENGEZINSWONING
EENGEZINSWONING_21,"3,121","11,121","11,129","3,129",EENGEZINSWONING
EENGEZINSWONING_28,"151,85","159,85","159,93","151,93",EENGEZINSWONING
BUNGALOW_31,"83,35","94,35","94,42","83,42",BUNGALOW
EENGEZINSWONING_8,"14,44","22,44","22,52","14,52",EENGEZINSWONING
EENGEZINSWONING_41,"7,78","15,78","15,86","7,86",EENGEZINSWONING
EENGEZINSWONING_14,"32,88","40,88","40,96","32,96",EENGEZINSWONING
EENGEZINSWONING_19,"167,72","175,72","175,80","167,80",EENGEZINSWONING
BUNGALOW_89,"87,65","98,65","98,72","87,72",BUNGALOW
networth,13689240,,,,
