structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"50,44","130,44","130,116","50,116",WATER
MAISON_0,"140,65","152,65","152,75","140,75",MAISON
MAISON_1,"111,21","123,21","123,31","111,31",MAISON
MAISON_2,"7,115","19,115","19,125","7,125",MAISON
BUNGALOW_3,"62,116","73,116","73,123","62,123",BUNGALOW
BUNGALOW_4,"43,149","54,149","54,156","43,156",BUNGALOW
BUNGALOW_5,"49,22","60,22","60,29","49,29",BUNGALOW
BUNGALOW_6,"163,113","174,113","174,120","163,120",BUNGALOW
BUNGALOW_7,"29,32","40,32","40,39","29,39",BUNGALOW
EENGEZINSWONING_8,"131,146","139,146","139,154","131,154",EENGEZINSWONING
EENGEZINSWONING_9,"6,16","14,16","14,24","6,24",EENGEZINSWONING
EENGEZINSWONING_10,"75,141","83,141","83,149","75,149",EENGEZINSWONING
EENGEZINSWONING_11,"61,148","69,148","69,156","61,156",EENGEZINSWONING
EENGEZINSWONING_12,"4,45","12,45","12,53","4,53",EENGEZINSWONING
EENGEZINSWONING_13,"33,113","41,113","41,121","33,121",EENGEZINSWONING
EENGEZINSWONING_14,"10,140","18,140","18,148","10,148",EENGEZINSWONING
EENGEZINSWONING_15,"41,67","49,67","49,75","41,75",EENGEZINSWONING
EENGEZINSWONING_16,"70,19","78,19","78,27","70,27",EENGEZINSWONING
EENGEZINSWONING_17,"96,135","104,135","104,143","96,143",EENGEZINSWONING
EENGEZINSWONING_18,"9,81","17,81","17,89","9,89",EENGEZINSWONING
EENGEZINSWONING_19,"13,30","21,30","21,38","13,38",EENGEZINSWONING
networth,12935820,,,,
