structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"135,0","180,0","180,32","135,32",WATER
WATER_1,"0,0","45,0","45,32","0,32",WATER
WATER_2,"135,128","180,128","180,160","135,160",WATER
WATER_3,"0,128","45,128","45,160","0,160",WATER
MAISON_0,"74,9","86,9","86,19","74,19",MAISON
MAISON_1,"113,142","125,142","125,152","113,152",MAISON
MAISON_2,"115,74","127,74","127,84","115,84",MAISON
BUNGALOW_3,"121,58","132,58","132,65","121,65",BUNGALOW
BUNGALOW_4,"117,105","128,105","128,112","117,112",BUNGALOW
BUNGALOW_5,"46,120","57,120","57,127","46,127",BUNGALOW
BUNGALOW_6,"163,34","174,34","174,41","163,41",BUNGALOW
BUNGALOW_7,"79,76","90,76","90,83","79,83",BUNGALOW
EENGEZINSWONING_8,"75,102","83,102","83,110","75,110",EENGEZINSWONING
EENGEZINSWONING_9,"24,33","32,33","32,41","24,41",EENGEZINSWONING
EENGEZINSWONING_10,"61,147","69,147","69,155","61,155",EENGEZINSWONING
EENGEZINSWONING_11,"137,89","145,89","145,97","137,97",EENGEZINSWONING
EENGEZINSWONING_12,"31,115","39,115","39,123","31,123",EENGEZINSWONING
EENGEZINSWONING_13,"103,90","111,90","111,98","103,98",EENGEZINSWONING
EENGEZINSWONING_14,"34,79","42,79","42,87","34,87",EENGEZINSWONING
EENGEZINSWONING_15,"134,107","142,107","142,115","134,115",EENGEZINSWONING
EENGEZINSWONING_16,"59,103","67,103","67,111","59,111",EENGEZINSWONING
EENGEZINSWONING_17,"163,91","171,91","171,99","163,99",EENGEZINSWONING
EENGEZINSWONING_18,"87,101","95,101","95,109","87,109",EENGEZINSWONING
EENGEZINSWONING_19,"104,57","112,57","112,65","104,65",EENGEZINSWONING
networth,12513060,,,,
