structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"0,0","180,0","180,32","0,32",WATER
MAISON_0,"6,39","18,39","18,49","6,49",MAISON
MAISON_1,"157,93","169,93","169,103","157,103",MAISON
MAISON_2,"115,94","127,94","127,104","115,104",MAISON
BUNGALOW_3,"81,41","92,41","92,48","81,48",BUNGALOW
BUNGALOW_4,"115,60","126,60","126,67","115,67",BUNGALOW
BUNGALOW_5,"43,104","54,104","54,111","43,111",BUNGALOW
BUNGALOW_6,"55,125","66,125","66,132","55,132",BUNGALOW
BUNGALOW_7,"8,90","19,90","19,97","8,97",BUNGALOW
EENGEZINSWONING_8,"50,58","58,58","58,66","50,66",EENGEZINSWONING
EENGEZINSWONING_9,"108,148","116,148","116,156","108,156",EENGEZINSWONING
EENGEZINSWONING_10,"40,139","48,139","48,147","40,147",EENGEZINSWONING
EENGEZINSWONING_11,"11,107","19,107","19,115","11,115",EENGEZINSWONING
EENGEZINSWONING_12,"69,52","77,52","77,60","69,60",EENGEZINSWONING
EENGEZINSWONING_13,"75,69","83,69","83,77","75,77",EENGEZINSWONING
EENGEZINSWONING_14,"86,115","94,115","94,123","86,123",EENGEZINSWONING
EENGEZINSWONING_15,"34,79","42,79","42,87","34,87",EENGEZINSWONING
EENGEZINSWONING_16,"73,139","81,139","81,147","73,147",EENGEZINSWONING
EENGEZINSWONING_17,"32,127","40,127","40,135","32,135",EENGEZINSWONING
EENGEZINSWONING_18,"83,92","91,92","91,100","83,100",EENGEZINSWONING
EENGEZINSWONING_19,"60,34","68,34","68,42","60,42",EENGEZINSWONING
networth,12543780,,,,
