structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"135,0","180,0","180,32","135,32",WATER
WATER_1,"0,0","45,0","45,32","0,32",WATER
WATER_2,"135,128","180,128","180,160","135,160",WATER
WATER_3,"0,128","45,128","45,160","0,160",WATER
MAISON_0,"66,111","78,111","78,121","66,121",MAISON
MAISON_1,"6,117","18,117","18,127","6,127",MAISON
MAISON_2,"47,59","59,59","59,69","47,69",MAISON
BUNGALOW_3,"157,81","168,81","168,88","157,88",BUNGALOW
BUNGALOW_4,"112,11","123,11","123,18","112,18",BUNGALOW
BUNGALOW_5,"120,50","131,50","131,57","120,57",BUNGALOW
BUNGALOW_6,"7,39","18,39","18,46","7,46",BUNGALOW
BUNGALOW_7,"18,62","29,62","29,69","18,69",BUNGALOW
EENGEZINSWONING_8,"100,125","108,125","108,133","100,133",EENGEZINSWONING
EENGEZINSWONING_9,"26,40","34,40","34,48","26,48",EENGEZINSWONING
EENGEZINSWONING_10,"68,46","76,46","76,54","68,54",EENGEZINSWONING
EENGEZINSWONING_11,"84,79","92,79","92,87","84,87",EENGEZINSWONING
EENGEZINSWONING_12,"127,109","135,109","135,117","127,117",EENGEZINSWONING
EENGEZINSWONING_13,"63,75","71,75","71,83","63,83",EENGEZINSWONING
EENGEZINSWONING_14,"44,33","52,33","52,41","44,41",EENGEZINSWONING
EENGEZINSWONING_15,"137,34","145,34","145,42","137,42",EENGEZINSWONING
EENGEZINSWONING_16,"61,23","69,23","69,31","61,31",EENGEZINSWONING
EENGEZINSWONING_17,"67,148","75,148","75,156","67,156",EENGEZINSWONING
EENGEZINSWONING_18,"107,147","115,147","115,155","107,155",EENGEZINSWONING
EENGEZINSWONING_19,"166,37","174,37","174,45","166,45",EENGEZINSWONING
networth,12772980,,,,
