structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"50,44","130,44","130,116","50,116",WATER
MAISON_0,"102,19","114,19","114,29","102,29",MAISON
MAISON_1,"67,131","79,131","79,141","67,141",MAISON
MAISON_2,"158,141","170,141","170,151","158,151",MAISON
BUNGALOW_3,"151,28","162,28","162,35","151,35",BUNGALOW
BUNGALOW_4,"21,36","32,36","32,43","21,43",BUNGALOW
BUNGALOW_5,"36,14","47,14","47,21","36,21",BUNGALOW
BUNGALOW_6,"59,33","70,33","70,40","59,40",BUNGALOW
BUNGALOW_7,"47,118","58,118","58,125","47,125",BUNGALOW
EENGEZINSWONING_8,"9,121","17,121","17,129","9,129",EENGEZINSWONING
EENGEZINSWONING_9,"150,68","158,68","158,76","150,76",EENGEZINSWONING
EENGEZINSWONING_10,"33,119","41,119","41,127","33,127",EENGEZINSWONING
EENGEZINSWONING_11,"4,45","12,45","12,53","4,53",EENGEZINSWONING
EENGEZINSWONING_12,"93,118","101,118","101,126","93,126",EENGEZINSWONING
EENGEZINSWONING_13,"17,78","25,78","25,86","17,86",EENGEZINSWONING
EENGEZINSWONING_14,"37,43","45,43","45,51","37,51",EENGEZINSWONING
EENGEZINSWONING_15,"9,9","17,9","17,17","9,17",EENGEZINSWONING
EENGEZINSWONING_16,"13,100","21,100","21,108","13,108",EENGEZINSWONING
EENGEZINSWONING_17,"62,21","70,21","70,29","62,29",EENGEZINSWONING
EENGEZINSWONING_18,"39,76","47,76","47,84","39,84",EENGEZINSWONING
EENGEZINSWONING_19,"10,141","18,141","18,149","10,149",EENGEZINSWONING
networth,13235730,,,,
