structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"0,0","180,0","180,32","0,32",WATER
MAISON_2,"158,113","170,113","170,123","158,123",MAISON
BUNGALOW_8,"71,120","82,120","82,127","71,127",BUNGALOW
BUNGALOW_9,"132,97","143,97","143,104","132,104",BUNGALOW
BUNGALOW_12,"111,112","122,112","122,119","111,119",BUNGALOW
BUNGALOW_14,"42,69","53,69","53,76","42,76",BUNGALOW
BUNGALOW_15,"130,59","141,59","141,66","130,66",BUNGALOW
EENGEZINSWONING_37,"66,75","74,75","74,83","66,83",EENGEZINSWONING
EENGEZINSWONING_2,"140,82","148,82","148,90","140,90",EENGEZINSWONING
BUNGALOW_8,"150,146","161,146","161,153","150,153",BUNGALOW
EENGEZINSWONING_9,"105,93","113,93","113,101","105,101",EENGEZINSWONING
EENGEZINSWONING_12,"92,148","100,148","100,156","92,156",EENGEZINSWONING
EENGEZINSWONING_14,"46,83","54,83","54,91","46,91",EENGEZINSWONING
MAISON_15,"113,36","125,36","125,46","113,46",MAISON
EENGEZINSWONING_27,"2,118","10,118","10,126","2,126",EENGEZINSWONING
MAISON_105,"57,53","69,53","69,63","57,63",MAISON
EENGEZINSWONING_30,"28,148","36,148","36,156","28,156",EENGEZINSWONING
MAISON_154,"91,114","103,114","103,124","91,124",MAISON
EENGEZINSWONING_431,"4,142","12,142","12,150","4,150",EENGEZINSWONING
EENGEZINSWONING_433,"5,34","13,34","13,42","5,42",EENGEZINSWONING
EENGEZINSWONING_194,"54,34","62,34","62,42","54,42",EENGEZINSWONING
EENGEZINSWONING_755,"34,36","42,36","42,44","34,44",EENGEZINSWONING
EENGEZINSWONING_893,"19,32","27,32","27,40","19,40",EENGEZINSWONING
EENGEZINSWONING_2034,"84,91","92,91","92,99","84,99",EENGEZINSWONING
EENGEZINSWONING_1606,"3,62","11,62","11,70","3,70",EENGEZINSWONING
MAISON_2100,"161,36","173,36","173,46","161,46",MAISON
EENGEZINSWONING_2174,"3,79","11,79","11,87","3,87",EENGEZINSWONING
MAISON_3410,"57,142","69,142","69,152","57,152",MAISON
EENGEZINSWONING_3621,"2,99","10,99","10,107","2,107",EENGEZINSWONING
EENGEZINSWONING_3974,"68,34","76,34","76,42","68,42",EENGEZINSWONING
BUNGALOW_4066,"81,77","92,77","92,84","81,84",BUNGALOW
BUNGALOW_44,"63,90","74,90","74,97","63,97",BUNGALOW
EENGEZINSWONING_4181,"19,83","27,83","27,91","19,91",EENGEZINSWONING
BUNGALOW_2456,"30,123","41,123","41,130","30,130",BUNGALOW
EENGEZINSWONING_2260,"34,102","42,102","42,110","34,110",EENGEZINSWONING
EENGEZINSWONING_949,"19,67","27,67","27,75","19,75",EENGEZINSWONING
EENGEZINSWONING_5237,"20,51","28,51","28,59","20,59",EENGEZINSWONING
EENGEZINSWONING_5540,"3,46","11,46","11,54","3,54",EENGEZINSWONING
BUNGALOW_7353,"18,97","29,97","29,104","18,104",BUNGALOW
EENGEZINSWONING_7513,"38,54","46,54","46,62","38,62",EENGEZINSWONING
EENGEZINSWONING_2706,"57,112","65,112","65,120","57,120",EENGEZINSWONING
networth,25149630,,,,
