structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"50,44","130,44","130,116","50,116",WATER
MAISON_0,"6,6","18,6","18,16","6,16",MAISON
MAISON_1,"160,141","172,141","172,151","160,151",MAISON
MAISON_2,"161,6","173,6","173,16","161,16",MAISON
BUNGALOW_3,"3,145","14,145","14,152","3,152",BUNGALOW
BUNGALOW_4,"24,145","35,145","35,152","24,152",BUNGALOW
BUNGALOW_5,"3,135","14,135","14,142","3,142",BUNGALOW
BUNGALOW_6,"17,135","28,135","28,142","17,142",BUNGALOW
BUNGALOW_7,"31,135","42,135","42,142","31,142",BUNGALOW
EENGEZINSWONING_8,"38,145","46,145","46,153","38,153",EENGEZINSWONING
EENGEZINSWONING_9,"45,132","53,132","53,140","45,140",EENGEZINSWONING
EENGEZINSWONING_10,"48,143","56,143","56,151","48,151",EENGEZINSWONING
EENGEZINSWONING_11,"55,130","63,130","63,138","55,138",EENGEZINSWONING
EENGEZINSWONING_12,"58,140","66,140","66,148","58,148",EENGEZINSWONING
EENGEZINSWONING_13,"65,126","73,126","73,134","65,134",EENGEZINSWONING
EENGEZINSWONING_14,"68,136","76,136","76,144","68,144",EENGEZINSWONING
EENGEZINSWONING_15,"68,146","76,146","76,154","68,154",EENGEZINSWONING
EENGEZINSWONING_16,"76,120","84,120","84,128","76,128",EENGEZINSWONING
EENGEZINSWONING_17,"78,131","86,131","86,139","78,139",EENGEZINSWONING
EENGEZINSWONING_19,"86,121","94,121","94,129","86,129",EENGEZINSWONING
EENGEZINSWONING_695,"79,148","87,148","87,156","79,156",EENGEZINSWONING
networth,19044150,,,,
