structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"0,0","180,0","180,32","0,32",WATER
MAISON_0,"6,32","18,32","18,42","6,42",MAISON
MAISON_1,"160,141","172,141","172,151","160,151",MAISON
MAISON_2,"161,32","173,32","173,42","161,42",MAISON
MAISON_3,"43,141","55,141","55,151","43,151",MAISON
MAISON_4,"83,32","95,32","95,42","83,42",MAISON
MAISON_5,"6,90","18,90","18,100","6,100",MAISON
BUNGALOW_6,"65,87","76,87","76,94","65,94",BUNGALOW
BUNGALOW_7,"3,145","14,145","14,152","3,152",BUNGALOW
BUNGALOW_8,"63,106","74,106","74,113","63,113",BUNGALOW
BUNGALOW_9,"88,87","99,87","99,94","88,94",BUNGALOW
BUNGALOW_10,"84,141","95,141","95,148","84,148",BUNGALOW
BUNGALOW_11,"86,106","97,106","97,113","86,113",BUNGALOW
BUNGALOW_12,"102,88","113,88","113,95","102,95",BUNGALOW
BUNGALOW_13,"82,123","93,123","93,130","82,130",BUNGALOW
BUNGALOW_14,"101,98","112,98","112,105","101,105",BUNGALOW
BUNGALOW_15,"100,108","111,108","111,115","100,115",BUNGALOW
EENGEZINSWONING_16,"98,120","106,120","106,128","98,128",EENGEZINSWONING
EENGEZINSWONING_17,"98,133","106,133","106,141","98,141",EENGEZINSWONING
EENGEZINSWONING_18,"98,144","106,144","106,152","98,152",EENGEZINSWONING
EENGEZINSWONING_19,"116,98","124,98","124,106","116,106",EENGEZINSWONING
EENGEZINSWONING_20,"108,118","116,118","116,126","108,126",EENGEZINSWONING
EENGEZINSWONING_21,"114,108","122,108","122,116","114,116",EENGEZINSWONING
EENGEZINSWONING_22,"108,128","116,128","116,136","108,136",EENGEZINSWONING
EENGEZINSWONING_23,"108,138","116,138","116,146","108,146",EENGEZINSWONING
EENGEZINSWONING_24,"108,148","116,148","116,156","108,156",EENGEZINSWONING
EENGEZINSWONING_25,"127,103","135,103","135,111","127,111",EENGEZINSWONING
EENGEZINSWONING_26,"118,118","126,118","126,126","118,126",EENGEZINSWONING
EENGEZINSWONING_27,"118,128","126,128","126,136","118,136",EENGEZINSWONING
EENGEZINSWONING_28,"118,138","126,138","126,146","118,146",EENGEZINSWONING
EENGEZINSWONING_29,"118,148","126,148","126,156","118,156",EENGEZINSWONING
EENGEZINSWONING_30,"169,99","177,99","177,107","169,107",EENGEZINSWONING
EENGEZINSWONING_31,"116,86","124,86","124,94","116,94",EENGEZINSWONING
EENGEZINSWONING_32,"127,93","135,93","135,101","127,101",EENGEZINSWONING
EENGEZINSWONING_33,"137,97","145,97","145,105","137,105",EENGEZINSWONING
EENGEZINSWONING_34,"147,99","155,99","155,107","147,107",EENGEZINSWONING
EENGEZINSWONING_35,"157,99","165,99","165,107","157,107",EENGEZINSWONING
EENGEZINSWONING_36,"128,113","136,113","136,121","128,121",EENGEZINSWONING
EENGEZINSWONING_37,"138,109","146,109","146,117","138,117",EENGEZINSWONING
EENGEZINSWONING_38,"128,123","136,123","136,131","128,131",EENGEZINSWONING
EENGEZINSWONING_39,"128,133","136,133","136,141","128,141",EENGEZINSWONING
networth,25215810,,,,
