structure,corner_1,corner_2,corner_3,corner_4,type
WATER_0,"0,0","180,0","180,32","0,32",WATER
MAISON_0,"52,140","64,140","64,150","52,150",MAISON
MAISON_1,"48,71","60,71","60,81","48,81",MAISON
MAISON_2,"155,104","167,104","167,114","155,114",MAISON
MAISON_3,"125,82","137,82","137,92","125,92",MAISON
MAISON_4,"28,119","40,119","40,129","28,129",MAISON
MAISON_5,"25,78","37,78","37,88","25,88",MAISON
BUNGALOW_6,"128,114","139,114","139,121","128,121",BUNGALOW
BUNGALOW_7,"81,41","92,41","92,48","81,48",BUNGALOW
BUNGALOW_8,"161,64","172,64","172,71","161,71",BUNGALOW
BUNGALOW_9,"100,132","111,132","111,139","100,139",BUNGALOW
BUNGALOW_10,"74,133","85,133","85,140","74,140",BUNGALOW
BUNGALOW_11,"80,108","91,108","91,115","80,115",BUNGALOW
BUNGALOW_12,"77,92","88,92","88,99","77,99",BUNGALOW
BUNGALOW_13,"19,35","30,35","30,42","19,42",BUNGALOW
BUNGALOW_14,"43,41","54,41","54,48","43,48",BUNGALOW
BUNGALOW_15,"101,100","112,100","112,107","101,107",BUNGALOW
EENGEZINSWONING_16,"6,55","14,55","14,63","6,63",EENGEZINSWONING
EENGEZINSWONING_17,"108,33","116,33","116,41","108,41",EENGEZINSWONING
EENGEZINSWONING_18,"10,130","18,130","18,138","10,138",EENGEZINSWONING
EENGEZINSWONING_19,"6,84","14,84","14,92","6,92",EENGEZINSWONING
EENGEZINSWONING_20,"9,116","17,116","17,124","9,124",EENGEZINSWONING
EENGEZINSWONING_21,"131,57","139,57","139,65","131,65",EENGEZINSWONING
EENGEZINSWONING_22,"93,147","101,147","101,155","93,155",EENGEZINSWONING
EENGEZINSWONING_23,"156,44","164,44","164,52","156,52",EENGEZINSWONING
EENGEZINSWONING_24,"29,61","37,61","37,69","29,69",EENGEZINSWONING
EENGEZINSWONING_25,"65,92","73,92","73,100","65,100",EENGEZINSWONING
EENGEZINSWONING_26,"148,58","156,58","156,66","148,66",EENGEZINSWONING
EENGEZINSWONING_27,"15,103","23,103","23,111","15,111",EENGEZINSWONING
EENGEZINSWONING_28,"115,61","123,61","123,69","115,69",EENGEZINSWONING
EENGEZINSWONING_29,"150,32","158,32","158,40","150,40",EENGEZINSWONING
EENGEZINSWONING_30,"120,147","128,147","128,155","120,155",EENGEZINSWONING
EENGEZINSWONING_31,"66,55","74,55","74,63","66,63",EENGEZINSWONING
EENGEZINSWONING_32,"129,34","137,34","137,42","129,42",EENGEZINSWONING
EENGEZINSWONING_33,"8,33","16,33","16,41","8,41",EENGEZINSWONING
EENGEZINSWONING_34,"99,112","107,112","107,120","99,120",EENGEZINSWONING
EENGEZINSWONING_35,"168,142","176,142","176,150","168,150",EENGEZINSWONING
EENGEZINSWONING_36,"60,109","68,109","68,117","60,117",EENGEZINSWONING
EENGEZINSWONING_37,"81,75","89,75","89,83","81,83",EENGEZINSWONING
EENGEZINSWONING_38,"83,59","91,59","91,67","83,67",EENGEZINSWONING
EENGEZINSWONING_39,"4,97","12,97","12,105","4,105",EENGEZINSWONING
networth,19885110,,,,
