,iteration,max_houses,old_score,new_score
0,0,20,11153520.0,11153520.0
1,1,20,11184300.0,11184300.0
2,2,20,11208810.0,11208810.0
3,3,20,11208810.0,11049210.0
4,4,20,11208810.0,9865440.0
5,5,20,11678490.0,11678490.0
6,6,20,11696730.0,11696730.0
7,7,20,12072450.0,12072450.0
8,8,20,12072450.0,11578680.0
9,9,20,12072450.0,11963010.0
10,10,20,12072450.0,11724300.0
11,11,20,12072450.0,11896890.0
12,12,20,12072450.0,11886180.0
13,13,20,12072450.0,11859840.0
14,14,20,12072450.0,10769130.0
15,15,20,12072450.0,10906740.0
16,16,20,12072450.0,10883790.0
17,17,20,12072450.0,11604720.0
18,18,20,12207540.0,12207540.0
19,19,20,12295260.0,12295260.0
20,20,20,12295260.0,12007980.0
21,21,20,12339720.0,12339720.0
22,22,20,12339720.0,12066690.0
23,23,20,12339720.0,11999580.0
24,24,20,12339720.0,12137940.0
25,25,20,12339720.0,12201210.0
26,26,20,12385320.0,12385320.0
27,27,20,12385320.0,12035340.0
28,28,20,12385320.0,12334020.0
29,29,20,12385320.0,11950920.0
30,30,20,12385320.0,11229870.0
31,31,20,12385320.0,12035340.0
32,32,20,12385320.0,12222870.0
33,33,20,12417240.0,12417240.0
34,34,20,12417240.0,11576490.0
35,35,20,12482220.0,12482220.0
36,36,20,12482220.0,11824350.0
37,37,20,12567720.0,12567720.0
38,38,20,13368990.0,13368990.0
39,39,20,13368990.0,13173330.0
40,40,20,13368990.0,12774870.0
41,41,20,13368990.0,12316620.0
42,42,20,13368990.0,12854670.0
43,43,20,13368990.0,13309140.0
44,44,20,13368990.0,13274610.0
45,45,20,13368990.0,13351890.0
46,46,20,13368990.0,12664740.0
47,47,20,13368990.0,13051950.0
48,48,20,13368990.0,12521730.0
49,49,20,13368990.0,13189740.0
50,50,20,13386090.0,13386090.0
51,51,20,13386090.0,12949290.0
52,52,20,13386090.0,12406230.0
53,53,20,13386090.0,13019010.0
54,54,20,13386090.0,12796170.0
55,55,20,13386090.0,13058340.0
56,56,20,13386090.0,12619890.0
57,57,20,13386090.0,12846690.0
58,58,20,13386090.0,11765280.0
59,59,20,13386090.0,12908430.0
60,60,20,13386090.0,12803940.0
61,61,20,13386090.0,13073610.0
62,62,20,13386090.0,13386090.0
63,63,20,13386090.0,12445590.0
64,64,20,13386090.0,12726450.0
65,65,20,13386090.0,12624690.0
66,66,20,13386090.0,13276290.0
67,67,20,13386090.0,12940200.0
68,68,20,13501050.0,13501050.0
69,69,20,13501050.0,13296420.0
70,70,20,13501050.0,12096330.0
71,71,20,13501050.0,12454050.0
72,72,20,13501050.0,13403010.0
73,73,20,13501050.0,12848040.0
74,74,20,13501050.0,13454640.0
75,75,20,13501050.0,12590490.0
76,76,20,13501050.0,13273470.0
77,77,20,13501050.0,13333530.0
78,78,20,13501050.0,13236000.0
79,79,20,13501050.0,13314660.0
80,80,20,13501050.0,12517650.0
81,81,20,13501050.0,13075260.0
82,82,20,13501050.0,12255300.0
83,83,20,13601940.0,13601940.0
84,84,20,13601940.0,13040700.0
85,85,20,13601940.0,12550140.0
86,86,20,13601940.0,12720720.0
87,87,20,13601940.0,11589990.0
88,88,20,13601940.0,13357980.0
89,89,20,13601940.0,13442910.0
90,90,20,13601940.0,12464640.0
91,91,20,13601940.0,12738150.0
92,92,20,13601940.0,12925350.0
93,93,20,13601940.0,12649050.0
94,94,20,13701690.0,13701690.0
95,95,20,13701690.0,13056480.0
96,96,20,13701690.0,13357590.0
97,97,20,13701690.0,12463410.0
98,98,20,13701690.0,13675920.0
99,99,20,13701690.0,11745840.0
