iteration,max_houses,score
0,20,9452670.0
1,20,10093320.0
2,20,9676860.0
3,20,9647490.0
4,20,9760620.0
5,20,9724170.0
6,20,9700920.0
7,20,8826450.0
8,20,8847000.0
9,20,9390360.0
10,20,9102780.0
11,20,10501080.0
12,20,9499290.0
13,20,10174380.0
14,20,9946230.0
15,20,9530520.0
16,20,9178560.0
17,20,10412850.0
18,20,9216120.0
19,20,9967200.0
20,20,10273260.0
21,20,10292700.0
22,20,10006800.0
23,20,9648150.0
24,20,8869200.0
25,20,9087390.0
26,20,9636120.0
27,20,9605880.0
28,20,9177840.0
29,20,9540870.0
30,20,9644370.0
31,20,9852360.0
32,20,9746040.0
33,20,9681840.0
34,20,10677150.0
35,20,9855870.0
36,20,9007800.0
37,20,9950250.0
38,20,9462720.0
39,20,9108030.0
40,20,9553290.0
41,20,9264360.0
42,20,9185370.0
43,20,11237070.0
44,20,9685170.0
45,20,9139740.0
46,20,9651030.0
47,20,9318270.0
48,20,9343530.0
49,20,9933750.0
50,20,9611670.0
51,20,9943650.0
52,20,8920950.0
53,20,9591360.0
54,20,10022700.0
55,20,9157200.0
56,20,9840210.0
57,20,9456000.0
58,20,10086450.0
59,20,10172880.0
60,20,9336180.0
61,20,9532050.0
62,20,10068060.0
63,20,9301860.0
64,20,8645610.0
65,20,10337280.0
66,20,9352050.0
67,20,9363930.0
68,20,9599730.0
69,20,9654750.0
70,20,8623530.0
71,20,10618800.0
72,20,9337350.0
73,20,10143840.0
74,20,8992590.0
75,20,9917220.0
76,20,9589320.0
77,20,9846930.0
78,20,9127230.0
79,20,10562940.0
80,20,9244170.0
81,20,9900120.0
82,20,9250230.0
83,20,9190860.0
84,20,10282620.0
85,20,10035750.0
86,20,10150530.0
87,20,10040100.0
88,20,9844440.0
89,20,9565200.0
90,20,10335840.0
91,20,9517710.0
92,20,9448560.0
93,20,9023340.0
94,20,9676170.0
95,20,10254480.0
96,20,9456030.0
97,20,9582240.0
98,20,8875500.0
99,20,11558670.0
