iteration,max_houses,score
0,60,23183940.0
1,60,22783440.0
2,60,22889490.0
3,60,23255880.0
4,60,23221800.0
5,60,23147610.0
6,60,23139960.0
7,60,23164920.0
8,60,23158980.0
9,60,23710230.0
10,60,23469660.0
11,60,22799880.0
12,60,23197170.0
13,60,23045910.0
14,60,22698240.0
15,60,22846590.0
16,60,23320650.0
17,60,23718570.0
18,60,23662020.0
19,60,23029500.0
20,60,23276400.0
21,60,22785360.0
22,60,23088630.0
23,60,23069130.0
24,60,23660490.0
25,60,23569620.0
26,60,23156610.0
27,60,23281770.0
28,60,23144040.0
29,60,23657880.0
30,60,23208780.0
31,60,23242800.0
32,60,22820850.0
33,60,23575140.0
34,60,23462160.0
35,60,23523840.0
36,60,23646270.0
37,60,23634060.0
38,60,23520630.0
39,60,23432760.0
40,60,23262870.0
41,60,23330280.0
42,60,22999380.0
43,60,23018850.0
44,60,22972050.0
45,60,23456760.0
46,60,23059110.0
47,60,23458620.0
48,60,23212800.0
49,60,23404560.0
50,60,23244870.0
51,60,23138670.0
52,60,23510160.0
53,60,23100210.0
54,60,23690880.0
55,60,23452470.0
56,60,23563590.0
57,60,22988760.0
58,60,23144760.0
59,60,23664450.0
60,60,24065460.0
61,60,23656530.0
62,60,23513220.0
63,60,22882950.0
64,60,23608440.0
65,60,23277240.0
66,60,23679780.0
67,60,23221560.0
68,60,23082120.0
69,60,23231430.0
70,60,22775610.0
71,60,23124660.0
72,60,23123100.0
73,60,23460960.0
74,60,22686300.0
75,60,23072130.0
76,60,22614000.0
77,60,23204100.0
78,60,23540940.0
79,60,22887420.0
80,60,23148960.0
81,60,23284410.0
82,60,23340630.0
83,60,23675790.0
84,60,22527360.0
85,60,23800890.0
86,60,23112840.0
87,60,23676360.0
88,60,23424990.0
89,60,23107470.0
90,60,23550870.0
91,60,22825620.0
92,60,23614140.0
93,60,23160150.0
94,60,23381790.0
95,60,24190770.0
96,60,22896210.0
97,60,23145360.0
98,60,23090910.0
99,60,23044530.0
100,60,23223630.0
101,60,22954440.0
102,60,23310690.0
103,60,23883630.0
104,60,23393130.0
105,60,23465610.0
106,60,23161500.0
107,60,23628360.0
108,60,22880460.0
109,60,22834140.0
110,60,23196840.0
111,60,23223840.0
112,60,23511840.0
113,60,22937460.0
114,60,23316810.0
115,60,22798140.0
116,60,23337990.0
117,60,22822200.0
118,60,23523060.0
119,60,23275050.0
120,60,22975650.0
121,60,23497140.0
122,60,23750610.0
123,60,22973040.0
124,60,23785620.0
125,60,23629740.0
126,60,23358600.0
127,60,23020140.0
128,60,23259330.0
129,60,23326920.0
130,60,23184630.0
131,60,23118060.0
132,60,23609310.0
133,60,22850610.0
134,60,22941360.0
135,60,23681010.0
136,60,23435820.0
137,60,23202330.0
138,60,23747400.0
139,60,23768550.0
140,60,22918410.0
141,60,23389080.0
142,60,23250270.0
143,60,23200020.0
144,60,23258160.0
145,60,23799840.0
146,60,23501370.0
147,60,23576670.0
148,60,23638620.0
149,60,22658250.0
150,60,23022540.0
151,60,23592720.0
152,60,23492040.0
153,60,23292870.0
154,60,23427150.0
155,60,23065110.0
156,60,23365950.0
157,60,23204700.0
158,60,23221140.0
159,60,23458830.0
160,60,22877850.0
161,60,23594730.0
162,60,22953330.0
163,60,23720010.0
164,60,23072700.0
165,60,23188500.0
166,60,23289060.0
167,60,23732070.0
168,60,23598780.0
169,60,23274240.0
170,60,23569320.0
171,60,23081250.0
172,60,22941720.0
173,60,23476050.0
174,60,23490780.0
175,60,23490750.0
176,60,23043240.0
177,60,23094570.0
178,60,23145570.0
179,60,23714820.0
180,60,22794060.0
181,60,23186580.0
182,60,23000040.0
183,60,23581860.0
184,60,23501130.0
185,60,23514270.0
186,60,23353500.0
187,60,23252940.0
188,60,23245320.0
189,60,23802240.0
190,60,23121030.0
191,60,23002440.0
192,60,24013050.0
193,60,23049000.0
194,60,22800870.0
195,60,23041440.0
196,60,22777050.0
197,60,23143020.0
198,60,23204010.0
199,60,23084850.0
200,60,23409240.0
201,60,23436390.0
202,60,23254950.0
203,60,23847360.0
204,60,22880250.0
205,60,22718190.0
206,60,23581200.0
207,60,23428290.0
208,60,23233320.0
209,60,23269470.0
210,60,22976550.0
211,60,23271420.0
212,60,23445270.0
213,60,23434560.0
214,60,23440290.0
215,60,22794180.0
216,60,23250990.0
217,60,22611150.0
218,60,23188500.0
219,60,23699970.0
220,60,23296620.0
221,60,23228730.0
222,60,22959000.0
223,60,23277330.0
224,60,22872450.0
225,60,23301750.0
226,60,23478900.0
227,60,23313720.0
228,60,23258910.0
229,60,23333070.0
230,60,22804530.0
231,60,23554950.0
232,60,23119080.0
233,60,23018070.0
234,60,23556030.0
235,60,23536500.0
236,60,23209920.0
237,60,23166960.0
238,60,23395200.0
239,60,23223300.0
240,60,23353380.0
241,60,23297190.0
242,60,23406720.0
243,60,23942820.0
244,60,23374950.0
245,60,22985670.0
246,60,23331450.0
247,60,23320470.0
248,60,23248980.0
249,60,23075970.0
250,60,23352450.0
251,60,23178240.0
252,60,23634150.0
253,60,23564790.0
254,60,22899150.0
255,60,23167860.0
256,60,23786850.0
257,60,23472390.0
258,60,23456130.0
259,60,23410410.0
260,60,23061060.0
261,60,23242920.0
262,60,23200170.0
263,60,22729500.0
264,60,23576820.0
265,60,23603520.0
266,60,23712570.0
267,60,23413920.0
268,60,23789910.0
269,60,23638500.0
270,60,22959570.0
271,60,23473680.0
272,60,23517960.0
273,60,23696400.0
274,60,22958220.0
275,60,23149980.0
276,60,22926960.0
277,60,23167290.0
278,60,23661570.0
279,60,23622930.0
280,60,24070050.0
281,60,23620260.0
282,60,23262840.0
283,60,23641320.0
284,60,23342310.0
285,60,23061810.0
286,60,23992170.0
287,60,23256930.0
288,60,23876730.0
289,60,23116920.0
290,60,23476410.0
291,60,23269260.0
292,60,23376630.0
293,60,23213790.0
294,60,23581140.0
295,60,24304410.0
296,60,23199270.0
297,60,23785770.0
298,60,23595090.0
299,60,23034810.0
300,60,22918200.0
301,60,23199540.0
302,60,23202660.0
303,60,23552760.0
304,60,23001600.0
305,60,22933560.0
306,60,23808990.0
307,60,22987860.0
308,60,23359650.0
309,60,23478420.0
310,60,23067300.0
311,60,22931880.0
312,60,23577870.0
313,60,23673660.0
314,60,23129490.0
315,60,23198640.0
316,60,23624160.0
317,60,23259300.0
318,60,22813320.0
319,60,23513790.0
320,60,23281680.0
321,60,22984200.0
322,60,23076240.0
323,60,23241660.0
324,60,23418570.0
325,60,23162730.0
326,60,23425320.0
327,60,22654380.0
328,60,23186130.0
329,60,23575680.0
330,60,23662110.0
331,60,22720530.0
332,60,23273760.0
333,60,23081670.0
334,60,23080200.0
335,60,23293410.0
336,60,23664600.0
337,60,23022060.0
338,60,23228910.0
339,60,23498610.0
340,60,23024430.0
341,60,23306190.0
342,60,23343510.0
343,60,22785360.0
344,60,23128980.0
345,60,23074590.0
346,60,22900500.0
347,60,23796420.0
348,60,22999290.0
349,60,23087730.0
350,60,23010450.0
351,60,23174250.0
352,60,22535160.0
353,60,23232120.0
354,60,23738370.0
355,60,23403990.0
356,60,23840490.0
357,60,23457810.0
358,60,23400810.0
359,60,23445510.0
360,60,23507040.0
361,60,23450550.0
362,60,23241300.0
363,60,23329200.0
364,60,23747520.0
365,60,22658010.0
366,60,23077830.0
367,60,23085930.0
368,60,23042580.0
369,60,23202660.0
370,60,23511840.0
371,60,23104920.0
372,60,23644350.0
373,60,23264370.0
374,60,23226120.0
375,60,23268450.0
376,60,23699640.0
377,60,23180400.0
378,60,23378670.0
379,60,22969260.0
380,60,23207790.0
381,60,22730310.0
382,60,23739210.0
383,60,23506470.0
384,60,23180520.0
385,60,23552310.0
386,60,24027180.0
387,60,23163390.0
388,60,23928120.0
389,60,23386110.0
390,60,23381640.0
391,60,23480100.0
392,60,23301510.0
393,60,22940160.0
394,60,23600550.0
395,60,23410530.0
396,60,22832010.0
397,60,23797440.0
398,60,23503290.0
399,60,23396910.0
400,60,23057640.0
401,60,24173160.0
402,60,23054550.0
403,60,23332770.0
404,60,23312790.0
405,60,22929030.0
406,60,22939830.0
407,60,23579340.0
408,60,23199930.0
409,60,23105640.0
410,60,23095980.0
411,60,23490030.0
412,60,23596350.0
413,60,23629560.0
414,60,23333880.0
415,60,23621190.0
416,60,23538060.0
417,60,22981470.0
418,60,23264820.0
419,60,23488110.0
420,60,23911140.0
421,60,23230830.0
422,60,23340930.0
423,60,23855130.0
424,60,23728680.0
425,60,22845330.0
426,60,23713560.0
427,60,23284860.0
428,60,23452890.0
429,60,23044860.0
430,60,23209410.0
431,60,23342310.0
432,60,23612610.0
433,60,23445330.0
434,60,23597670.0
435,60,22806300.0
436,60,22939050.0
437,60,23261220.0
438,60,23132550.0
439,60,22787070.0
440,60,23666940.0
441,60,23051610.0
442,60,23185770.0
443,60,23094570.0
444,60,23030520.0
445,60,23164800.0
446,60,23166960.0
447,60,22929840.0
448,60,22821750.0
449,60,23139390.0
450,60,23301180.0
451,60,23402820.0
452,60,23185440.0
453,60,23525190.0
454,60,22872720.0
455,60,23117610.0
456,60,22965840.0
457,60,23099460.0
458,60,22917180.0
459,60,23672850.0
460,60,22936440.0
461,60,23391240.0
462,60,23689200.0
463,60,23027850.0
464,60,23440230.0
465,60,23384340.0
466,60,23710290.0
467,60,23199780.0
468,60,23226690.0
469,60,23127840.0
470,60,23172210.0
471,60,23241630.0
472,60,22992420.0
473,60,22775490.0
474,60,23336370.0
475,60,23385840.0
476,60,23309010.0
477,60,23376660.0
478,60,23418570.0
479,60,23784720.0
480,60,23434740.0
481,60,22942830.0
482,60,22908060.0
483,60,23357130.0
484,60,23210490.0
485,60,23548710.0
486,60,23523030.0
487,60,23037210.0
488,60,23295450.0
489,60,23062530.0
490,60,22899510.0
491,60,23122980.0
492,60,23244150.0
493,60,22881870.0
494,60,23686170.0
495,60,23047170.0
496,60,23110410.0
497,60,23010510.0
498,60,23316480.0
499,60,23217600.0
500,60,23527680.0
501,60,23601060.0
502,60,23583210.0
503,60,23542740.0
504,60,23223840.0
505,60,23184960.0
506,60,23352360.0
507,60,23176680.0
508,60,23365230.0
509,60,23102550.0
510,60,23012850.0
511,60,23515560.0
512,60,23691210.0
513,60,23173500.0
514,60,23666880.0
515,60,23399760.0
516,60,23400000.0
517,60,23925930.0
518,60,23364000.0
519,60,23467980.0
520,60,23471250.0
521,60,22802940.0
522,60,23445630.0
523,60,23705130.0
524,60,22875120.0
525,60,23189640.0
526,60,23172240.0
527,60,23581860.0
528,60,23386680.0
529,60,23114880.0
530,60,23357490.0
531,60,23332140.0
532,60,23504340.0
533,60,23401950.0
534,60,22921500.0
535,60,23558130.0
536,60,22889220.0
537,60,23601150.0
538,60,23427600.0
539,60,22771920.0
540,60,23273580.0
541,60,23215080.0
542,60,23059770.0
543,60,23007690.0
544,60,22909440.0
545,60,23523150.0
546,60,23061750.0
547,60,23258400.0
548,60,23459070.0
549,60,23551290.0
550,60,22986270.0
551,60,23923860.0
552,60,23371950.0
553,60,22844100.0
554,60,22996050.0
555,60,23468400.0
556,60,22783770.0
557,60,23058210.0
558,60,23650020.0
559,60,23119650.0
560,60,23457300.0
561,60,23489940.0
562,60,23155230.0
563,60,22761570.0
564,60,23066070.0
565,60,23163660.0
566,60,23319960.0
567,60,23268000.0
568,60,23340180.0
569,60,23548800.0
570,60,23505570.0
571,60,23270700.0
572,60,23353140.0
573,60,23339220.0
574,60,23464530.0
575,60,23506500.0
576,60,22952370.0
577,60,23256030.0
578,60,23637120.0
579,60,23395710.0
580,60,23360880.0
581,60,23138790.0
582,60,22999830.0
583,60,23617680.0
584,60,23833980.0
585,60,23260830.0
586,60,22932780.0
587,60,23234910.0
588,60,23743650.0
589,60,23349420.0
590,60,23500230.0
591,60,23179380.0
592,60,23171970.0
593,60,23159220.0
594,60,23002230.0
595,60,23103600.0
596,60,23417640.0
597,60,23083980.0
598,60,22883310.0
599,60,23237910.0
600,60,22692900.0
601,60,23113440.0
602,60,22696560.0
603,60,23626680.0
604,60,23302170.0
605,60,23152860.0
606,60,23533710.0
607,60,23365920.0
608,60,23334090.0
609,60,23329440.0
610,60,23037210.0
611,60,23483940.0
612,60,23748240.0
613,60,22898100.0
614,60,23619360.0
615,60,23295120.0
616,60,23126040.0
617,60,23245410.0
618,60,23597010.0
619,60,23478000.0
620,60,23300280.0
621,60,22955490.0
622,60,23548470.0
623,60,23109180.0
624,60,23893080.0
625,60,23432520.0
626,60,24438870.0
627,60,23277330.0
628,60,23353020.0
629,60,23319180.0
630,60,23786730.0
631,60,23366610.0
632,60,23290830.0
633,60,23338680.0
634,60,23061390.0
635,60,23426310.0
636,60,23519490.0
637,60,23469660.0
638,60,22956960.0
639,60,23066550.0
640,60,23068590.0
641,60,23563620.0
642,60,23507520.0
643,60,22688130.0
644,60,22988130.0
645,60,23454360.0
646,60,23231190.0
647,60,23173350.0
648,60,23708280.0
649,60,22829730.0
650,60,23093520.0
651,60,23295450.0
652,60,23100180.0
