,iteration,max_houses,score
0,0,20,10722030.0
1,1,20,10207050.0
2,2,20,9817920.0
3,3,20,11074380.0
4,4,20,10494450.0
5,5,20,10498830.0
6,6,20,10373460.0
7,7,20,10411530.0
8,8,20,9964920.0
9,9,20,10128000.0
10,10,20,10630050.0
11,11,20,10145040.0
12,12,20,10956690.0
13,13,20,9557160.0
14,14,20,11065050.0
15,15,20,10838880.0
16,16,20,10126980.0
17,17,20,10642110.0
18,18,20,10356660.0
19,19,20,10689030.0
20,20,20,9882090.0
21,21,20,9993300.0
22,22,20,10868490.0
23,23,20,10179030.0
24,24,20,10579230.0
25,25,20,9995910.0
26,26,20,10725990.0
27,27,20,10681440.0
28,28,20,10414350.0
29,29,20,11207400.0
30,30,20,10427790.0
31,31,20,10220940.0
32,32,20,11289180.0
33,33,20,10389990.0
34,34,20,9217230.0
35,35,20,10582200.0
36,36,20,10879410.0
37,37,20,10533480.0
38,38,20,10845300.0
39,39,20,10399890.0
40,40,20,10188060.0
41,41,20,10324440.0
42,42,20,10853850.0
43,43,20,10752180.0
44,44,20,10680630.0
45,45,20,10016100.0
46,46,20,10809060.0
47,47,20,10788990.0
48,48,20,10445070.0
49,49,20,11725320.0
50,50,20,10310100.0
51,51,20,10767330.0
52,52,20,10234410.0
53,53,20,10615740.0
54,54,20,10673640.0
55,55,20,10106790.0
56,56,20,10469100.0
57,57,20,10505340.0
58,58,20,10698660.0
59,59,20,10418040.0
60,60,20,10464420.0
61,61,20,10785630.0
62,62,20,10997010.0
63,63,20,10069020.0
64,64,20,10240860.0
65,65,20,10262970.0
66,66,20,11600340.0
67,67,20,10760340.0
68,68,20,10869960.0
69,69,20,10388880.0
70,70,20,10410780.0
71,71,20,9890520.0
72,72,20,10812390.0
73,73,20,10838730.0
74,74,20,11200950.0
75,75,20,10489230.0
76,76,20,11897820.0
77,77,20,10534710.0
78,78,20,10204620.0
79,79,20,10252590.0
80,80,20,11015760.0
81,81,20,9461280.0
82,82,20,10223460.0
83,83,20,11400420.0
84,84,20,11461350.0
85,85,20,11840010.0
86,86,20,10727580.0
87,87,20,10568550.0
88,88,20,10161120.0
89,89,20,10956210.0
90,90,20,9951270.0
91,91,20,10196760.0
92,92,20,10577760.0
93,93,20,10778580.0
94,94,20,11030730.0
95,95,20,9830790.0
96,96,20,9970440.0
97,97,20,10837200.0
98,98,20,10647210.0
99,99,20,10681170.0
